metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.9225434298440979,0.09954082180930691,3.150791286749585e-08,False
Precision,Shapiro-Wilk,0.918331240007607,0.09950709994147627,6.134092530049596e-08,False
Recall,Shapiro-Wilk,0.941690605133035,0.04044934263292038,0.007588641166978836,False
F1-Score,Shapiro-Wilk,0.9261197421207521,0.06909655643133684,1.9168043623708153e-06,False
ROC-AUC,Shapiro-Wilk,0.9635041839354568,0.09801809723443623,1.187181943590708e-09,False
MCC,Shapiro-Wilk,0.84714128119578,0.18898509806581895,4.68226690481112e-08,False
Log Loss,Shapiro-Wilk,0.5120496107860667,1.6473413079531647,2.897923999556433e-10,False
Cohen's Kappa,Shapiro-Wilk,0.8469282850626857,0.18894528182510625,4.723058404535512e-08,False
Execution Time (s),Shapiro-Wilk,798.516522064209,1322.8108336523587,4.237588754991174e-07,False
CV Accuracy (Mean),Shapiro-Wilk,0.924983623739028,0.03263886722726345,0.2760689736859677,True
CV Accuracy (Std Dev),Shapiro-Wilk,0.0055826048733266295,0.0018499560995525533,0.3360981948387354,True
