method,metric,p_value,normal_distribution
metoda1-1,Recall,,
metoda1-2,Recall,,
metoda1-3,Recall,,
metoda1-4,Recall,,
metoda1-5,Recall,,
metoda10,Recall,,
metoda11,Recall,,
metoda12-catboost,Recall,,
metoda12-rf,Recall,,
metoda13,Recall,,
metoda14,Recall,,
metoda15,Recall,,
metoda16,Recall,,
metoda17,Recall,,
metoda18,Recall,,
metoda19,Recall,,
metoda2,Recall,,
metoda20,Recall,,
metoda3,Recall,,
metoda4,Recall,,
metoda5,Recall,,
metoda6,Recall,,
metoda7,Recall,,
metoda8,Recall,,
metoda9,Recall,,
