,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.9571622587257723,0.6826904567096335,0.9998061827678278,0.9928280861064006,0.9998061827678278,-0.9191703991246684,0.988176021665449,-0.3710021391658826,0.8799498909741704,-0.5053426516737378
Precision,0.9571622587257723,1.0,0.5767441860465117,0.9565891472868217,0.9480620155038759,0.9573643410852714,-0.8937984496124031,0.9689922480620154,-0.2116279069767442,0.907035175879397,-0.5326633165829145
Recall,0.6826904567096335,0.5767441860465117,1.0,0.6829457364341085,0.6868217054263566,0.6821705426356589,-0.5953488372093023,0.6666666666666666,-0.31627906976744186,0.8115577889447236,-0.3944723618090452
F1-Score,0.9998061827678278,0.9565891472868217,0.6829457364341085,1.0,0.9922480620155039,0.9992248062015504,-0.9186046511627907,0.9875968992248062,-0.37209302325581395,0.8819095477386935,-0.507537688442211
ROC-AUC,0.9928280861064006,0.9480620155038759,0.6868217054263566,0.9922480620155039,1.0,0.9930232558139535,-0.9279069767441861,0.9813953488372092,-0.3829457364341085,0.8768844221105527,-0.5025125628140703
MCC,0.9998061827678278,0.9573643410852714,0.6821705426356589,0.9992248062015504,0.9930232558139535,1.0,-0.9193798449612403,0.9883720930232558,-0.3697674418604651,0.8768844221105527,-0.5025125628140703
Log Loss,-0.9191703991246684,-0.8937984496124031,-0.5953488372093023,-0.9186046511627907,-0.9279069767441861,-0.9193798449612403,1.0,-0.9387596899224806,0.34186046511627904,-0.8542713567839196,0.4120603015075377
Cohen's Kappa,0.988176021665449,0.9689922480620154,0.6666666666666666,0.9875968992248062,0.9813953488372092,0.9883720930232558,-0.9387596899224806,1.0,-0.31550387596899226,0.9271356783919598,-0.5402010050251256
Execution Time (s),-0.3710021391658826,-0.2116279069767442,-0.31627906976744186,-0.37209302325581395,-0.3829457364341085,-0.3697674418604651,0.34186046511627904,-0.31550387596899226,1.0,0.19095477386934673,-0.5452261306532663
CV Accuracy (Mean),0.8799498909741704,0.907035175879397,0.8115577889447236,0.8819095477386935,0.8768844221105527,0.8768844221105527,-0.8542713567839196,0.9271356783919598,0.19095477386934673,1.0,-0.5100502512562815
CV Accuracy (Std Dev),-0.5053426516737378,-0.5326633165829145,-0.3944723618090452,-0.507537688442211,-0.5025125628140703,-0.5025125628140703,0.4120603015075377,-0.5402010050251256,-0.5452261306532663,-0.5100502512562815,1.0
