method,metoda,AUC-PR
metoda1-1,run1-1_BuzzFeed_pr_curve.csv,0.9183333333333332
metoda1-2,run1-2_BuzzFeed_pr_curve.csv,0.9183333333333332
metoda1-3,run1-3_BuzzFeed_pr_curve.csv,0.9633333333333334
metoda1-4,run1-4_BuzzFeed_pr_curve.csv,0.874642857142857
metoda1-5,run1-5_BuzzFeed_pr_curve.csv,0.9380952380952381
metoda10,run10_BuzzFeed_pr_curve.csv,0.5577777777777778
metoda11,run11_BuzzFeed_pr_curve.csv,0.8322222222222222
metoda12-catboost,run12-catboost_BuzzFeed_pr_curve.csv,0.8022222222222222
metoda12-rf,run12-rf_BuzzFeed_pr_curve.csv,0.6834523809523809
metoda13,run13_BuzzFeed_pr_curve.csv,0.8347619047619046
metoda14,run14_BuzzFeed_pr_curve.csv,0.3867460317460317
metoda15,run15_BuzzFeed_pr_curve.csv,0.7563095238095239
metoda16,run16_BuzzFeed_pr_curve.csv,0.8647619047619046
metoda17,run17_BuzzFeed_pr_curve.csv,0.874642857142857
metoda18,run18_BuzzFeed_pr_curve.csv,0.6794444444444443
metoda19,run19_BuzzFeed_pr_curve.csv,0.9183333333333332
metoda20,run20_BuzzFeed_pr_curve.csv,0.7563095238095239
metoda2,run2_BuzzFeed_pr_curve.csv,0.7563095238095239
metoda3,run3_BuzzFeed_pr_curve.csv,0.6396428571428572
metoda4,run4_BuzzFeed_pr_curve.csv,0.75
metoda5,run5_BuzzFeed_pr_curve.csv,0.9380952380952381
metoda6,run6_BuzzFeed_pr_curve.csv,0.7563095238095239
metoda7,run7_BuzzFeed_pr_curve.csv,0.7046428571428571
metoda8,run8_BuzzFeed_pr_curve.csv,0.7563095238095239
metoda9,run9_BuzzFeed_pr_curve.csv,0.6851190476190476
