metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.644,0.11575836902790226,0.01889433701305781,False
Precision,Shapiro-Wilk,0.6416984126984127,0.1478818491912777,0.017046726921770363,False
Recall,Shapiro-Wilk,0.7600000000000001,0.2,0.0028626248019461543,False
F1-Score,Shapiro-Wilk,0.6747692307692307,0.12228118549184386,0.0004168949641406667,False
ROC-AUC,Shapiro-Wilk,0.7536000000000002,0.14418968987644945,0.06567216666047945,True
MCC,Shapiro-Wilk,0.3124986563869056,0.2444391172755066,0.07488778308524469,True
Log Loss,Shapiro-Wilk,0.9636594149658425,1.4733931845033212,4.850448939743351e-10,False
Cohen's Kappa,Shapiro-Wilk,0.288,0.23151673805580453,0.018894337013058305,False
Execution Time (s),Shapiro-Wilk,6.323064813613891,6.7503763916618995,3.072895540464634e-05,False
CV Accuracy (Mean),Shapiro-Wilk,0.5933333333333333,0.14864467059144132,0.060777763989830834,True
CV Accuracy (Std Dev),Shapiro-Wilk,0.22572810744578303,0.08267938188058382,0.0033162480371812767,False
