,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.8585357118986421,0.24328767529096815,0.96744217888765,0.8952034831769183,0.9992488327620095,-0.8810653705609748,1.0,-0.19095597648336382,0.4662723973623402,-0.564906327588238
Precision,0.8585357118986421,1.0,-0.25332019855244964,0.7378873041946374,0.8749309281890563,0.8670862940615882,-0.8592225508835665,0.8585357118986419,-0.41551640542120843,0.32213907696158245,-0.09641981640357113
Recall,0.24328767529096815,-0.25332019855244964,1.0,0.4617678098954216,-0.1037452953588862,0.2146344523308128,0.11342976691351252,0.24328767529096837,0.3704950646960735,0.24892565037940462,-0.5954463111267804
F1-Score,0.96744217888765,0.7378873041946374,0.4617678098954216,1.0,0.7620216577265831,0.9573885231278446,-0.7434109938483479,0.9674421788876499,-0.10855195231470545,0.456506049211054,-0.6006667980825269
ROC-AUC,0.8952034831769183,0.8749309281890563,-0.1037452953588862,0.7620216577265831,1.0,0.9111554510943781,-0.9883558702677728,0.8952034831769183,-0.23996043333957592,0.19527334595667056,0.0327490609539632
MCC,0.9992488327620095,0.8670862940615882,0.2146344523308128,0.9573885231278446,0.9111554510943781,1.0,-0.898103948651926,0.9992488327620097,-0.1971849390982154,0.46627239736234016,-0.5649063275882379
Log Loss,-0.8810653705609748,-0.8592225508835665,0.11342976691351252,-0.7434109938483479,-0.9883558702677728,-0.898103948651926,1.0,-0.8810653705609747,0.20267495538820507,0.1446669598641649,-0.25237310332093427
Cohen's Kappa,1.0,0.8585357118986419,0.24328767529096837,0.9674421788876499,0.8952034831769183,0.9992488327620097,-0.8810653705609747,1.0,-0.19095597648336374,0.46627239736234005,-0.5649063275882381
Execution Time (s),-0.19095597648336382,-0.41551640542120843,0.3704950646960735,-0.10855195231470545,-0.23996043333957592,-0.1971849390982154,0.20267495538820507,-0.19095597648336374,1.0,-0.19383904014681905,-0.03640223548955968
CV Accuracy (Mean),0.4662723973623402,0.32213907696158245,0.24892565037940462,0.456506049211054,0.19527334595667056,0.46627239736234016,0.1446669598641649,0.46627239736234005,-0.19383904014681905,1.0,-0.6405695163065867
CV Accuracy (Std Dev),-0.564906327588238,-0.09641981640357113,-0.5954463111267804,-0.6006667980825269,0.0327490609539632,-0.5649063275882379,-0.25237310332093427,-0.5649063275882381,-0.03640223548955968,-0.6405695163065867,1.0
