metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.9359999999999999,0.10360180178613368,1.2050871117868038e-07,False
Precision,Shapiro-Wilk,0.96,0.11055415967851331,6.621304728381747e-09,False
Recall,Shapiro-Wilk,0.9359999999999999,0.09521904571390465,3.327653933949814e-07,False
F1-Score,Shapiro-Wilk,0.9402020202020203,0.07780182408466789,6.068556392907869e-06,False
ROC-AUC,Shapiro-Wilk,0.9752000000000001,0.09987992791347018,3.5134928466328336e-10,False
MCC,Shapiro-Wilk,0.8792584956081996,0.20473008458837139,6.73727179496653e-08,False
Log Loss,Shapiro-Wilk,0.6214089264807925,1.5433230850332065,7.458240948172631e-10,False
Cohen's Kappa,Shapiro-Wilk,0.872,0.20720360357226736,1.2050871117868038e-07,False
Execution Time (s),Shapiro-Wilk,890.4630569458008,1243.4297306704434,4.660282542037525e-06,False
CV Accuracy (Mean),Shapiro-Wilk,0.8133333333333332,0.23563490726929553,0.0035916160990818627,False
CV Accuracy (Std Dev),Shapiro-Wilk,0.11007164592345275,0.12486092018594433,0.00087568984121169,False
