metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.84,0.11547005383792516,0.009166540183910016,False
Precision,Shapiro-Wilk,0.8378095238095239,0.1340794036015361,0.005862828274020575,False
Recall,Shapiro-Wilk,0.88,0.11547005383792514,1.951982620852511e-05,False
F1-Score,Shapiro-Wilk,0.849858585858586,0.09691438868827981,0.10199361434794968,True
ROC-AUC,Shapiro-Wilk,0.9064000000000001,0.11643596237131092,6.136400452419626e-05,False
MCC,Shapiro-Wilk,0.690640994409174,0.23146738534779496,0.011495819928884658,False
Log Loss,Shapiro-Wilk,0.7204331559820651,1.5262086324755657,1.0051426921017736e-09,False
Cohen's Kappa,Shapiro-Wilk,0.68,0.23094010767585033,0.009166540183910016,False
Execution Time (s),Shapiro-Wilk,2553.605816869736,3588.27106394513,7.597731496974558e-06,False
CV Accuracy (Mean),Shapiro-Wilk,0.70625,0.22051077071199948,0.022125655230269242,False
CV Accuracy (Std Dev),Shapiro-Wilk,0.22004803340760615,0.06596049721619793,4.8346880723751166e-05,False
