,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.9367334208058161,0.5019685901015482,0.9731565769812348,0.8490405937404664,0.987032486210234,-0.7230787052781276,1.0,-0.04468916274269051,0.36899752268540703,-0.28631856346244444
Precision,0.9367334208058161,1.0,0.20616479540756338,0.8377364912610923,0.8412246417759903,0.8931127777190042,-0.7883243153896993,0.9367334208058161,-0.03375696060862692,0.33294422197497897,-0.46693326284196174
Recall,0.5019685901015482,0.20616479540756338,1.0,0.6635767903526091,0.32957427977254194,0.5711294539618126,-0.09715336077668173,0.5019685901015482,0.017505110049852564,0.31658691180665177,0.016412198797244364
F1-Score,0.9731565769812348,0.8377364912610923,0.6635767903526091,1.0,0.8123003930482774,0.9859631391815311,-0.6360300157054436,0.9731565769812348,-0.05685841694037566,0.39765641576617367,-0.2840187787218772
ROC-AUC,0.8490405937404664,0.8412246417759903,0.32957427977254194,0.8123003930482774,1.0,0.8495726344329801,-0.8462751138005122,0.8490405937404664,-0.016020352367260054,0.22080045495671177,-0.5137830903923016
MCC,0.987032486210234,0.8931127777190042,0.5711294539618126,0.9859631391815311,0.8495726344329801,1.0,-0.6648239053922544,0.987032486210234,-0.08504023655346231,0.36899752268540703,-0.28631856346244444
Log Loss,-0.7230787052781276,-0.7883243153896993,-0.09715336077668173,-0.6360300157054436,-0.8462751138005122,-0.6648239053922544,1.0,-0.7230787052781276,-0.24864864864864866,-0.2779354859105944,0.6317559128681675
Cohen's Kappa,1.0,0.9367334208058161,0.5019685901015482,0.9731565769812348,0.8490405937404664,0.987032486210234,-0.7230787052781276,1.0,-0.04468916274269051,0.36899752268540703,-0.28631856346244444
Execution Time (s),-0.04468916274269051,-0.03375696060862692,0.017505110049852564,-0.05685841694037566,-0.016020352367260054,-0.08504023655346231,-0.24864864864864866,-0.04468916274269051,1.0,0.13591350684638956,-0.07980074688861062
CV Accuracy (Mean),0.36899752268540703,0.33294422197497897,0.31658691180665177,0.39765641576617367,0.22080045495671177,0.36899752268540703,-0.2779354859105944,0.36899752268540703,0.13591350684638956,1.0,-0.5103103630798287
CV Accuracy (Std Dev),-0.28631856346244444,-0.46693326284196174,0.016412198797244364,-0.2840187787218772,-0.5137830903923016,-0.28631856346244444,0.6317559128681675,-0.28631856346244444,-0.07980074688861062,-0.5103103630798287,1.0
