metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.66,0.23804761428476168,3.327653933949863e-07,False
Precision,Shapiro-Wilk,0.38,0.4627814458971607,5.4841453773712074e-06,False
Recall,Shapiro-Wilk,0.44,0.5066228051190221,1.060992198707511e-06,False
F1-Score,Shapiro-Wilk,0.4,0.4714045207910317,4.976785666225161e-06,False
ROC-AUC,Shapiro-Wilk,0.46,0.49833054625753515,2.335834957850064e-06,False
MCC,Shapiro-Wilk,0.32,0.47609522856952335,3.327653933949863e-07,False
Log Loss,Shapiro-Wilk,1.0119175402514242,1.462767387152754,7.322283085768113e-10,False
Cohen's Kappa,Shapiro-Wilk,0.32,0.47609522856952335,3.327653933949863e-07,False
Execution Time (s),Shapiro-Wilk,5.464162158966064,5.761898553869236,3.594953194667388e-05,False
CV Accuracy (Mean),Shapiro-Wilk,,,,
CV Accuracy (Std Dev),Shapiro-Wilk,,,,
