,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.9090909090909091,0.7739059899518949,0.9090909090909091,0.7562376774775251,1.0,-0.6207390091372221,1.0,-0.1671220409215598,,
Precision,0.9090909090909091,1.0,0.9673824874398687,1.0,0.7866836099473995,0.9090909090909091,-0.5951280989700221,0.9090909090909091,-0.01519291281105089,,
Recall,0.7739059899518949,0.9673824874398687,1.0,0.9673824874398687,0.7360500921800837,0.7739059899518949,-0.5272452146388902,0.7739059899518949,0.07852588303132407,,
F1-Score,0.9090909090909091,1.0,0.9673824874398687,1.0,0.7866836099473995,0.9090909090909091,-0.5951280989700221,0.9090909090909091,-0.01519291281105089,,
ROC-AUC,0.7562376774775251,0.7866836099473995,0.7360500921800837,0.7866836099473995,1.0,0.7562376774775251,-0.8041632358577792,0.7562376774775251,0.05963260636677097,,
MCC,1.0,0.9090909090909091,0.7739059899518949,0.9090909090909091,0.7562376774775251,1.0,-0.6207390091372221,1.0,-0.1671220409215598,,
Log Loss,-0.6207390091372221,-0.5951280989700221,-0.5272452146388902,-0.5951280989700221,-0.8041632358577792,-0.6207390091372221,1.0,-0.6207390091372221,-0.12015503875968993,,
Cohen's Kappa,1.0,0.9090909090909091,0.7739059899518949,0.9090909090909091,0.7562376774775251,1.0,-0.6207390091372221,1.0,-0.1671220409215598,,
Execution Time (s),-0.1671220409215598,-0.01519291281105089,0.07852588303132407,-0.01519291281105089,0.05963260636677097,-0.1671220409215598,-0.12015503875968993,-0.1671220409215598,1.0,,
CV Accuracy (Mean),,,,,,,,,,,
CV Accuracy (Std Dev),,,,,,,,,,,
