,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,1.0,,1.0,0.40824829046386296,1.0,-0.46546407844108706,1.0,0.1035308023778828,,
Precision,1.0,1.0,,1.0,0.40824829046386296,1.0,-0.46546407844108706,1.0,0.1035308023778828,,
Recall,,,,,,,,,,,
F1-Score,1.0,1.0,,1.0,0.4082482904638629,1.0,-0.46546407844108706,1.0,0.1035308023778829,,
ROC-AUC,0.40824829046386296,0.40824829046386296,,0.4082482904638629,1.0,0.4082482904638631,-0.9854210934067722,0.4082482904638631,0.02588160109129268,,
MCC,1.0,1.0,,1.0,0.4082482904638631,1.0,-0.46546407844108717,1.0,0.10353080237788273,,
Log Loss,-0.46546407844108706,-0.46546407844108706,,-0.46546407844108706,-0.9854210934067722,-0.46546407844108717,1.0,-0.46546407844108706,-0.060088178619250865,,
Cohen's Kappa,1.0,1.0,,1.0,0.4082482904638631,1.0,-0.46546407844108706,1.0,0.10353080237788273,,
Execution Time (s),0.1035308023778828,0.1035308023778828,,0.1035308023778829,0.02588160109129268,0.10353080237788273,-0.060088178619250865,0.10353080237788273,1.0,,
CV Accuracy (Mean),,,,,,,,,,,
CV Accuracy (Std Dev),,,,,,,,,,,
