method,AUC-PR,rank,dataset,category
metoda12-catboost,0.6933305494414542,1,BuzzFeed,classic
metoda10,0.6867158867256186,2,BuzzFeed,classic
metoda1-4,0.6700383665997078,3,BuzzFeed,classic
metoda1-3,0.6559403009811453,4,BuzzFeed,classic
metoda17,0.6475271221238544,5,BuzzFeed,classic
metoda1-2,0.6418981581137099,6,BuzzFeed,classic
metoda4,0.6362098301877265,7,BuzzFeed,classic
metoda11,0.6339400072164758,8,BuzzFeed,classic
metoda13,0.6288363863518837,9,BuzzFeed,classic
metoda1-5,0.6272001032782771,10,BuzzFeed,classic
metoda19,0.6182453913434062,11,BuzzFeed,classic
metoda1-1,0.6119753469360915,12,BuzzFeed,classic
metoda20,0.6108691724616618,13,BuzzFeed,classic
metoda2,0.6108691724616618,14,BuzzFeed,classic
metoda8,0.6108691724616618,15,BuzzFeed,classic
metoda15,0.6108691724616618,16,BuzzFeed,classic
metoda6,0.6108691724616618,17,BuzzFeed,classic
metoda5,0.6044397848733372,18,BuzzFeed,classic
metoda7,0.6042489682482562,19,BuzzFeed,classic
metoda12-rf,0.5911218283826406,20,BuzzFeed,classic
metoda18,0.5892781945902886,21,BuzzFeed,classic
metoda9,0.5855877630449715,22,BuzzFeed,classic
metoda14,0.5830288703301499,23,BuzzFeed,classic
metoda16,0.5745477183419625,24,BuzzFeed,classic
metoda3,0.5722892296531827,25,BuzzFeed,classic
metoda16,0.8367390558535549,1,ISOT,classic
metoda14,0.8367359218218082,2,ISOT,classic
metoda19,0.8315872408850096,3,ISOT,classic
metoda12-rf,0.8234715954704761,4,ISOT,classic
metoda11,0.819707917945539,5,ISOT,classic
metoda5,0.8192378858606645,6,ISOT,classic
metoda13,0.8178838908341595,7,ISOT,classic
metoda9,0.8135803056083152,8,ISOT,classic
metoda10,0.8098397705177005,9,ISOT,classic
metoda1-3,0.8073897116032649,10,ISOT,classic
metoda18,0.8066610552499304,11,ISOT,classic
metoda1-2,0.8065171893122091,12,ISOT,classic
metoda1-5,0.8065132772442049,13,ISOT,classic
metoda1-1,0.8060617537150944,14,ISOT,classic
metoda7,0.8050767134083071,15,ISOT,classic
metoda1-4,0.804706340549218,16,ISOT,classic
metoda17,0.8012194810724645,17,ISOT,classic
metoda12-catboost,0.7894077372568123,18,ISOT,classic
metoda20,0.7852045158438637,19,ISOT,classic
metoda6,0.7852045158438637,20,ISOT,classic
metoda15,0.7852045158438637,21,ISOT,classic
metoda8,0.7852045158438637,22,ISOT,classic
metoda2,0.7852045158438637,23,ISOT,classic
metoda3,0.7706268037502816,24,ISOT,classic
metoda4,0.7082250552819191,25,ISOT,classic
metoda19,0.8987779101255654,1,WELFake,classic
metoda16,0.8850142706456737,2,WELFake,classic
metoda14,0.8849578469407348,3,WELFake,classic
metoda5,0.8832929044158848,4,WELFake,classic
metoda12-rf,0.8807282285458106,5,WELFake,classic
metoda13,0.8790462695424485,6,WELFake,classic
metoda10,0.8575210021533924,7,WELFake,classic
metoda9,0.8572759336358651,8,WELFake,classic
metoda11,0.8570960907418409,9,WELFake,classic
metoda1-1,0.8561955136436926,10,WELFake,classic
metoda18,0.8558869981583799,11,WELFake,classic
