method,AUC-PR
run1-1,0.6119753469360915
run1-2,0.6418981581137099
run1-3,0.6559403009811453
run1-4,0.6700383665997078
run1-5,0.6272001032782771
run10,0.6867158867256186
run11,0.6339400072164758
run12-catboost,0.6933305494414542
run12-rf,0.5911218283826406
run13,0.6288363863518837
run14,0.5830288703301499
run15,0.6108691724616618
run16,0.5745477183419625
run17,0.6475271221238544
run18,0.5892781945902886
run19,0.6182453913434062
run2,0.6108691724616618
run20,0.6108691724616618
run3,0.5722892296531827
run4,0.6362098301877265
run5,0.6044397848733372
run6,0.6108691724616618
run7,0.6042489682482562
run8,0.6108691724616618
run9,0.5855877630449715
