,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.43097470284731404,-0.23732824942591688,0.13452986615617646,0.39675500134702263,0.9835878908008433,-0.2942481793914335,0.9929755226797495,-0.31732358938955807,-0.2088609419731007,-0.38955681029291
Precision,0.43097470284731404,1.0,0.5005855408165377,0.8495589992676947,0.13048926510476022,0.4691152614556375,-0.04009542917697147,0.5011246592516057,-0.6081933988920064,-0.1816941634507716,-0.3261350146192045
Recall,-0.23732824942591688,0.5005855408165377,1.0,0.8472192036144438,0.2849438532077365,-0.09939972696337913,0.13371071342419855,-0.12086426655525775,-0.0587774381644298,0.30660153326495465,0.13092178923833966
F1-Score,0.13452986615617646,0.8495589992676947,0.8472192036144438,1.0,0.1629433805819644,0.247058062271238,0.0719964442542205,0.2397032520048576,-0.482928412325192,0.20112022279306557,-0.11620031995070504
ROC-AUC,0.39675500134702263,0.13048926510476022,0.2849438532077365,0.1629433805819644,1.0,0.45383256049351284,-0.5332241710329445,0.44123656995198324,0.283022513616356,0.04453124849665676,-0.3750704119408141
MCC,0.9835878908008433,0.4691152614556375,-0.09939972696337913,0.247058062271238,0.45383256049351284,1.0,-0.28128891733172684,0.9927174440568909,-0.3211409861463635,-0.19262026633695142,-0.3845544840683051
Log Loss,-0.2942481793914335,-0.04009542917697147,0.13371071342419855,0.0719964442542205,-0.5332241710329445,-0.28128891733172684,1.0,-0.2842395016634538,-0.08971543999076494,-0.02377590460657377,0.13874221853177984
Cohen's Kappa,0.9929755226797495,0.5011246592516057,-0.12086426655525775,0.2397032520048576,0.44123656995198324,0.9927174440568909,-0.2842395016634538,1.0,-0.3287095647106018,-0.1931367910858436,-0.38081482416491025
Execution Time (s),-0.31732358938955807,-0.6081933988920064,-0.0587774381644298,-0.482928412325192,0.283022513616356,-0.3211409861463635,-0.08971543999076494,-0.3287095647106018,1.0,-0.4921153968177199,0.21535313617334065
CV Accuracy (Mean),-0.2088609419731007,-0.1816941634507716,0.30660153326495465,0.20112022279306557,0.04453124849665676,-0.19262026633695142,-0.02377590460657377,-0.1931367910858436,-0.4921153968177199,1.0,0.4076773515092917
CV Accuracy (Std Dev),-0.38955681029291,-0.3261350146192045,0.13092178923833966,-0.11620031995070504,-0.3750704119408141,-0.3845544840683051,0.13874221853177984,-0.38081482416491025,0.21535313617334065,0.4076773515092917,1.0
