metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.5452252252252252,0.03936569275236982,0.02436404274078688,False
Precision,Shapiro-Wilk,0.5085008090995303,0.09616604833322695,0.00013998574856290613,False
Recall,Shapiro-Wilk,0.5674074074074074,0.1758349342336057,0.0014480639938294479,False
F1-Score,Shapiro-Wilk,0.5177040098812464,0.11629162971475064,2.513135013475724e-05,False
ROC-AUC,Shapiro-Wilk,0.5996686159844055,0.034941078674063444,0.17142161779633747,True
MCC,Shapiro-Wilk,0.09290501541985695,0.07702592161210015,0.012451951623579878,False
Log Loss,Shapiro-Wilk,0.8297902498914571,0.5101612384129611,8.552579146904473e-10,False
Cohen's Kappa,Shapiro-Wilk,0.09170666194788295,0.07513173517443175,0.008054800150652807,False
Execution Time (s),Shapiro-Wilk,4.624829791386922,5.252321861276952,2.911645093062114e-05,False
CV Accuracy (Mean),Shapiro-Wilk,0.5565145502645503,0.04889590302870435,0.011279106295023716,False
CV Accuracy (Std Dev),Shapiro-Wilk,0.1485492071290738,0.03209234736533666,0.0018696222141381187,False
