,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.7120192033228753,-0.21571651709891113,0.2855145950445286,0.253752659490616,0.9708281691197727,-0.3133984138177907,0.9790754957991882,-0.413544523496408,-0.029286249219055868,-0.5283456485971285
Precision,0.7120192033228753,1.0,0.1765678885065552,0.5100775193798449,0.2554758722155869,0.7077519379844961,-0.2302325581395349,0.7713178294573644,-0.5612403100775194,0.00318821298781019,-0.5355825730973565
Recall,-0.21571651709891113,0.1765678885065552,1.0,0.6566606649989365,0.43505853390292976,-0.08672139656737889,0.017188024544885903,-0.09219031346802439,0.0652363658862715,0.16387602807862184,0.18087744590791144
F1-Score,0.2855145950445286,0.5100775193798449,0.6566606649989365,1.0,0.23415391019455914,0.4,0.0031007751937984496,0.39612403100775195,-0.32558139534883723,0.1604733870531129,-0.1939905382872315
ROC-AUC,0.253752659490616,0.2554758722155869,0.43505853390292976,0.23415391019455914,1.0,0.27214576979566313,-0.5128901046149036,0.2752471460896308,0.1996510989241688,-0.04250950650413587,-0.2994201786607269
MCC,0.9708281691197727,0.7077519379844961,-0.08672139656737889,0.4,0.27214576979566313,1.0,-0.25736434108527134,0.9899224806201551,-0.4511627906976744,0.023380228577274727,-0.3964154478043426
Log Loss,-0.3133984138177907,-0.2302325581395349,0.017188024544885903,0.0031007751937984496,-0.5128901046149036,-0.25736434108527134,1.0,-0.2527131782945736,-0.27829457364341087,-0.04569771949194606,0.07485504466518172
Cohen's Kappa,0.9790754957991882,0.7713178294573644,-0.09219031346802439,0.39612403100775195,0.2752471460896308,0.9899224806201551,-0.2527131782945736,1.0,-0.4682170542635659,0.0318821298781019,-0.4059041154379572
Execution Time (s),-0.413544523496408,-0.5612403100775194,0.0652363658862715,-0.32558139534883723,0.1996510989241688,-0.4511627906976744,-0.27829457364341087,-0.4682170542635659,1.0,-0.17428897666695706,0.32261469954289584
CV Accuracy (Mean),-0.029286249219055868,0.00318821298781019,0.16387602807862184,0.1604733870531129,-0.04250950650413587,0.023380228577274727,-0.04569771949194606,0.0318821298781019,-0.17428897666695706,1.0,0.2264824804988074
CV Accuracy (Std Dev),-0.5283456485971285,-0.5355825730973565,0.18087744590791144,-0.1939905382872315,-0.2994201786607269,-0.3964154478043426,0.07485504466518172,-0.4059041154379572,0.32261469954289584,0.2264824804988074,1.0
