method,AUC-PR
metoda1-1,0.8060617537150944
metoda1-2,0.8065171893122091
metoda1-3,0.8073897116032649
metoda1-4,0.804706340549218
metoda1-5,0.8065132772442049
metoda10,0.8098397705177005
metoda11,0.819707917945539
metoda12-catboost,0.7894077372568123
metoda12-rf,0.8234715954704761
metoda13,0.8178838908341595
metoda14,0.8367359218218082
metoda15,0.7852045158438637
metoda16,0.8367390558535549
metoda17,0.8012194810724645
metoda18,0.8066610552499304
metoda19,0.8315872408850096
metoda2,0.7852045158438637
metoda20,0.7852045158438637
metoda3,0.7706268037502816
metoda4,0.7082250552819191
metoda5,0.8192378858606645
metoda6,0.7852045158438637
metoda7,0.8050767134083071
metoda8,0.7852045158438637
metoda9,0.8135803056083152
