metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.7664810690423163,0.03825051769284213,2.9213884695330807e-06,False
Precision,Shapiro-Wilk,0.7554379763914285,0.04047121110115326,9.268481545042856e-05,False
Recall,Shapiro-Wilk,0.7623797190173456,0.03683367792719841,0.300576142312895,True
F1-Score,Shapiro-Wilk,0.7562407310198064,0.03035104966586655,0.0008237501320990172,False
ROC-AUC,Shapiro-Wilk,0.824017609162161,0.039406940384559865,8.152260294317934e-07,False
MCC,Shapiro-Wilk,0.5343220903280644,0.07337471478119138,4.0929035976407775e-06,False
Log Loss,Shapiro-Wilk,0.6001462672099688,0.5539315893295387,1.2775022209033618e-09,False
Cohen's Kappa,Shapiro-Wilk,0.5325613941114691,0.07331411629412009,5.180228932882043e-06,False
Execution Time (s),Shapiro-Wilk,332.0465631071727,489.83427336710804,8.80593238859433e-07,False
CV Accuracy (Mean),Shapiro-Wilk,0.7601088839396188,0.02946152104155418,0.0361039049359827,False
CV Accuracy (Std Dev),Shapiro-Wilk,0.007814752702574868,0.000909972129436623,0.3609210884624331,True
