,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.8612403100775193,0.562015503875969,0.8658914728682171,0.9666666666666667,0.9930232558139535,-0.4201550387596899,0.9945736434108527,-0.08682170542635659,0.7829293993677555,-0.4773445732349842
Precision,0.8612403100775193,1.0,0.12558139534883722,0.5651162790697675,0.8310077519379845,0.8356589147286821,-0.32868217054263565,0.8302325581395349,0.0015503875968992248,0.7007376185458377,-0.565858798735511
Recall,0.562015503875969,0.12558139534883722,1.0,0.8186046511627907,0.5527131782945737,0.6124031007751938,-0.437984496124031,0.6124031007751938,-0.11782945736434108,0.6227608008429927,-0.26870389884088514
F1-Score,0.8658914728682171,0.5651162790697675,0.8186046511627907,1.0,0.8286821705426357,0.8976744186046511,-0.5643410852713179,0.8953488372093024,-0.08837209302325581,0.79768177028451,-0.4246575342465753
ROC-AUC,0.9666666666666667,0.8310077519379845,0.5527131782945737,0.8286821705426357,1.0,0.9604651162790697,-0.3310077519379845,0.962015503875969,-0.13488372093023257,0.7302423603793466,-0.5489989462592202
MCC,0.9930232558139535,0.8356589147286821,0.6124031007751938,0.8976744186046511,0.9604651162790697,1.0,-0.44263565891472867,0.9976744186046511,-0.07364341085271318,0.7829293993677555,-0.4773445732349842
Log Loss,-0.4201550387596899,-0.32868217054263565,-0.437984496124031,-0.5643410852713179,-0.3310077519379845,-0.44263565891472867,1.0,-0.43953488372093025,-0.21007751937984495,-0.40569020021074814,-0.06217070600632244
Cohen's Kappa,0.9945736434108527,0.8302325581395349,0.6124031007751938,0.8953488372093024,0.962015503875969,0.9976744186046511,-0.43953488372093025,1.0,-0.07674418604651163,0.7829293993677555,-0.4773445732349842
Execution Time (s),-0.08682170542635659,0.0015503875968992248,-0.11782945736434108,-0.08837209302325581,-0.13488372093023257,-0.07364341085271318,-0.21007751937984495,-0.07674418604651163,1.0,-0.045310853530031614,-0.0916754478398314
CV Accuracy (Mean),0.7829293993677555,0.7007376185458377,0.6227608008429927,0.79768177028451,0.7302423603793466,0.7829293993677555,-0.40569020021074814,0.7829293993677555,-0.045310853530031614,1.0,-0.3719704952581665
CV Accuracy (Std Dev),-0.4773445732349842,-0.565858798735511,-0.26870389884088514,-0.4246575342465753,-0.5489989462592202,-0.4773445732349842,-0.06217070600632244,-0.4773445732349842,-0.0916754478398314,-0.3719704952581665,1.0
