method,AUC-PR
metoda1-1,0.8561955136436926
metoda1-2,0.8544838182321843
metoda1-3,0.8492126849184922
metoda1-4,0.8537200134627766
metoda1-5,0.8537540984732347
metoda10,0.8575210021533924
metoda11,0.8570960907418409
metoda12-catboost,0.844671064549344
metoda12-rf,0.8807282285458106
metoda13,0.8790462695424485
metoda14,0.8849578469407348
metoda15,0.8374836889627417
metoda16,0.8850142706456737
metoda17,0.8419274141265332
metoda18,0.8558869981583799
metoda19,0.8987779101255654
metoda2,0.8374836889627417
metoda20,0.8374836889627417
metoda3,0.8228611868597783
metoda4,0.788434859529056
metoda5,0.8832929044158848
metoda6,0.8374836889627417
metoda7,0.8443065071784974
metoda8,0.8374836889627417
metoda9,0.8572759336358651
