,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.8092249781205513,0.4496895223234414,0.884643883982385,0.9500109293866078,0.9788533495231986,-0.6306673521520924,0.979843731425549,0.3752243984388643,0.8585868015286322,-0.453926359900729
Precision,0.8092249781205513,1.0,-0.13432041398291497,0.4559140527978789,0.7316729669681936,0.896302193457779,-0.6180157010204741,0.8993770568593248,0.39326531351269245,0.7859324058497519,-0.30855525169359066
Recall,0.4496895223234414,-0.13432041398291497,1.0,0.8110828513383869,0.47991378754508196,0.2792293073926432,-0.09476176227696687,0.26361183024956464,0.0946309480269447,0.6275825273017009,-0.48364861593858777
F1-Score,0.884643883982385,0.4559140527978789,0.8110828513383869,1.0,0.8606103053194745,0.7782752540823179,-0.44927247395406245,0.7747922330207925,0.30613489172250935,0.8205599547148836,-0.499067558545043
ROC-AUC,0.9500109293866078,0.7316729669681936,0.47991378754508196,0.8606103053194745,1.0,0.9297960201153522,-0.7508692172577833,0.9208510089375975,0.25478966373121814,0.82792185738612,-0.43048694294474793
MCC,0.9788533495231986,0.896302193457779,0.2792293073926432,0.7782752540823179,0.9297960201153522,1.0,-0.6874496632045802,0.9954012605174494,0.35769550381814275,0.8480594657139825,-0.41739247167996674
Log Loss,-0.6306673521520924,-0.6180157010204741,-0.09476176227696687,-0.44927247395406245,-0.7508692172577833,-0.6874496632045802,1.0,-0.6645629426710276,-0.10620910353405769,-0.47481104087818027,0.12233304331135886
Cohen's Kappa,0.979843731425549,0.8993770568593248,0.26361183024956464,0.7747922330207925,0.9208510089375975,0.9954012605174494,-0.6645629426710276,1.0,0.37559326312272373,0.8508213735954476,-0.4233150167774689
Execution Time (s),0.3752243984388643,0.39326531351269245,0.0946309480269447,0.30613489172250935,0.25478966373121814,0.35769550381814275,-0.10620910353405769,0.37559326312272373,1.0,0.17434100617010226,-0.13454002247045133
CV Accuracy (Mean),0.8585868015286322,0.7859324058497519,0.6275825273017009,0.8205599547148836,0.82792185738612,0.8480594657139825,-0.47481104087818027,0.8508213735954476,0.17434100617010226,1.0,-0.7032118194075738
CV Accuracy (Std Dev),-0.453926359900729,-0.30855525169359066,-0.48364861593858777,-0.499067558545043,-0.43048694294474793,-0.41739247167996674,0.12233304331135886,-0.4233150167774689,-0.13454002247045133,-0.7032118194075738,1.0
