metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.7318459395980129,0.034503732582744695,0.03202486050333528,False
Precision,Shapiro-Wilk,0.7684408313835166,0.029207609630652533,0.010902030635917175,False
Recall,Shapiro-Wilk,0.7677749771689498,0.06232335472399696,0.03117263641064483,False
F1-Score,Shapiro-Wilk,0.7624511966255801,0.035109896753895746,0.050401497431913134,True
ROC-AUC,Shapiro-Wilk,0.800255741163538,0.04104565247995091,7.295465288177626e-05,False
MCC,Shapiro-Wilk,0.4566808666126739,0.07290085861672196,0.003165592836369307,False
Log Loss,Shapiro-Wilk,0.6279873618987635,0.4486818764040519,3.3481093708649263e-09,False
Cohen's Kappa,Shapiro-Wilk,0.4516169647234787,0.07465349421892094,0.006938217148106321,False
Execution Time (s),Shapiro-Wilk,813.1422524960835,1261.5436951073866,1.1408805853447851e-06,False
CV Accuracy (Mean),Shapiro-Wilk,0.7239508135561384,0.03284189172897908,0.3120227638270705,True
CV Accuracy (Std Dev),Shapiro-Wilk,0.005253796022511918,0.0009402532516125178,0.010633104557590558,False
