,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.6906976744186046,0.4875968992248062,0.8953488372093024,0.9627906976744186,0.993798449612403,-0.517829457364341,0.9736434108527132,-0.050387596899224806,0.7766069546891464,-0.43308746048472074
Precision,0.6906976744186046,1.0,-0.1434108527131783,0.4108527131782946,0.5875968992248062,0.727906976744186,-0.3372093023255814,0.7744186046511627,0.2116279069767442,0.8672286617492097,-0.49841938883034775
Recall,0.4875968992248062,-0.1434108527131783,1.0,0.7744186046511627,0.610077519379845,0.4441860465116279,-0.3201550387596899,0.34108527131782945,-0.30387596899224806,0.6438356164383562,-0.422550052687039
F1-Score,0.8953488372093024,0.4108527131782946,0.7744186046511627,1.0,0.9224806201550387,0.8682170542635659,-0.46511627906976744,0.8201550387596899,-0.12558139534883722,0.7639620653319283,-0.43308746048472074
ROC-AUC,0.9627906976744186,0.5875968992248062,0.610077519379845,0.9224806201550387,1.0,0.9511627906976744,-0.42093023255813955,0.9093023255813953,-0.15891472868217055,0.7513171759747103,-0.4731296101159115
MCC,0.993798449612403,0.727906976744186,0.4441860465116279,0.8682170542635659,0.9511627906976744,1.0,-0.5271317829457365,0.9813953488372092,-0.03643410852713178,0.7723919915700738,-0.3719704952581665
Log Loss,-0.517829457364341,-0.3372093023255814,-0.3201550387596899,-0.46511627906976744,-0.42093023255813955,-0.5271317829457365,1.0,-0.4720930232558139,-0.27596899224806204,-0.3677555321390938,0.10221285563751317
Cohen's Kappa,0.9736434108527132,0.7744186046511627,0.34108527131782945,0.8201550387596899,0.9093023255813953,0.9813953488372092,-0.4720930232558139,1.0,-0.021705426356589147,0.7723919915700738,-0.3719704952581665
Execution Time (s),-0.050387596899224806,0.2116279069767442,-0.30387596899224806,-0.12558139534883722,-0.15891472868217055,-0.03643410852713178,-0.27596899224806204,-0.021705426356589147,1.0,-0.05795574288724974,0.001053740779768177
CV Accuracy (Mean),0.7766069546891464,0.8672286617492097,0.6438356164383562,0.7639620653319283,0.7513171759747103,0.7723919915700738,-0.3677555321390938,0.7723919915700738,-0.05795574288724974,1.0,-0.702845100105374
CV Accuracy (Std Dev),-0.43308746048472074,-0.49841938883034775,-0.422550052687039,-0.43308746048472074,-0.4731296101159115,-0.3719704952581665,0.10221285563751317,-0.3719704952581665,0.001053740779768177,-0.702845100105374,1.0
