method,AUC-PR
metoda1-1,0.646164021164021
metoda1-2,0.6483597883597884
metoda1-3,0.7242328042328042
metoda1-4,0.7848809523809525
metoda1-5,0.6187037037037036
metoda10,0.5987962962962963
metoda11,0.5458333333333333
metoda12-catboost,0.5853968253968254
metoda12-rf,0.5291798941798942
metoda13,0.6440608465608465
metoda14,0.5642724867724868
metoda15,0.5012962962962964
metoda16,0.6000925925925925
metoda17,0.7146296296296296
metoda18,0.5647354497354496
metoda19,0.5738888888888888
metoda2,0.5012962962962964
metoda20,0.5012962962962964
metoda3,0.46240740740740743
metoda4,0.49919312169312163
metoda5,0.5843650793650793
metoda6,0.5012962962962964
metoda7,0.6156746031746031
metoda8,0.5012962962962964
metoda9,0.5818121693121693
