,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.7609623988414479,0.45944547606268366,0.6565192525145234,0.7398083029248254,0.996048303418319,-0.341037433136837,1.0000000000000002,0.22638294048682506,0.6817351397262823,0.15445876610462564
Precision,0.7609623988414479,1.0,0.5762047479112328,0.8740171081364517,0.49282393283413467,0.7424469260779992,-0.2733112268857132,0.7609623988414479,-0.005850491778682903,0.783422896440533,0.20670317711104338
Recall,0.45944547606268366,0.5762047479112328,1.0,0.8912364387550474,0.6859985450235133,0.45331130675275205,-0.11273784869641545,0.45944547606268354,0.4065130625050297,0.3656842876021123,0.4688840999319407
F1-Score,0.6565192525145234,0.8740171081364517,0.8912364387550474,1.0,0.6303061504902663,0.64300351837072,-0.2195780562429964,0.6565192525145231,0.18098730418088646,0.624017068363053,0.3907143693267131
ROC-AUC,0.7398083029248254,0.49282393283413467,0.6859985450235133,0.6303061504902663,1.0,0.7589277496174347,-0.4316975195982033,0.739808302924825,0.5771438507920011,0.656671969775107,0.17732780963891245
MCC,0.996048303418319,0.7424469260779992,0.45331130675275205,0.64300351837072,0.7589277496174347,1.0,-0.35431762877546785,0.996048303418319,0.2369453975531677,0.7029879861805444,0.15950800625772385
Log Loss,-0.341037433136837,-0.2733112268857132,-0.11273784869641545,-0.2195780562429964,-0.4316975195982033,-0.35431762877546785,1.0,-0.3410374331368369,-0.17367200356304463,-0.4184224634358223,0.046506475419419754
Cohen's Kappa,1.0000000000000002,0.7609623988414479,0.45944547606268354,0.6565192525145231,0.739808302924825,0.996048303418319,-0.3410374331368369,1.0,0.226382940486825,0.6817351397262822,0.15445876610462583
Execution Time (s),0.22638294048682506,-0.005850491778682903,0.4065130625050297,0.18098730418088646,0.5771438507920011,0.2369453975531677,-0.17367200356304463,0.226382940486825,1.0,-0.3911294370060735,0.15062701117993088
CV Accuracy (Mean),0.6817351397262823,0.783422896440533,0.3656842876021123,0.624017068363053,0.656671969775107,0.7029879861805444,-0.4184224634358223,0.6817351397262822,-0.3911294370060735,1.0,0.11816082318742627
CV Accuracy (Std Dev),0.15445876610462564,0.20670317711104338,0.4688840999319407,0.3907143693267131,0.17732780963891245,0.15950800625772385,0.046506475419419754,0.15445876610462583,0.15062701117993088,0.11816082318742627,1.0
