metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.5133333333333333,0.08819171036881968,0.2572409083002511,True
Precision,Shapiro-Wilk,0.44950793650793647,0.13596415324691769,0.11968715384325967,True
Recall,Shapiro-Wilk,0.5093333333333333,0.18646814840709489,0.04539903187744735,False
F1-Score,Shapiro-Wilk,0.45935790135790133,0.1346490119498509,0.2652747559602767,True
ROC-AUC,Shapiro-Wilk,0.5349333333333334,0.09672948150689423,0.6345339514225063,True
MCC,Shapiro-Wilk,0.022920153005704345,0.18965505643746297,0.2309035639827487,True
Log Loss,Shapiro-Wilk,0.8427453611349831,0.5009015893161988,2.3012694519946725e-09,False
Cohen's Kappa,Shapiro-Wilk,0.02666666666666667,0.17638342073763935,0.2572409083002508,True
Execution Time (s),Shapiro-Wilk,15.918034378687542,20.553123791969842,3.855614215503604e-06,False
CV Accuracy (Mean),Shapiro-Wilk,0.45624999999999993,0.10016190596932252,0.269363173955261,True
CV Accuracy (Std Dev),Shapiro-Wilk,0.2327959419170066,0.03744528364466664,0.047715988758254384,False
