,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.8160009992298309,0.5664312114553262,0.6929179560751779,0.7625266126585941,0.984393246873373,-0.5530330267520283,0.997061410044066,0.11873025433094393,0.6854623432776936,0.07115427147459014
Precision,0.8160009992298309,1.0,0.6515241141301762,0.8611732741950016,0.5522997248808608,0.7871969110286627,-0.41139979827823214,0.8118500717058362,-0.06514153262086993,0.8356203101234847,0.23098032323694825
Recall,0.5664312114553262,0.6515241141301762,1.0,0.9063045228886938,0.6479987492000139,0.5339669973573417,-0.20168157193298872,0.5753487294264762,0.17437458927281616,0.28943474192815205,0.45615413820455
F1-Score,0.6929179560751779,0.8611732741950016,0.9063045228886938,1.0,0.6451374077162754,0.6369134419071779,-0.2923238857017068,0.695177796894246,0.05053471428353974,0.5769401464106888,0.3186599537717952
ROC-AUC,0.7625266126585941,0.5522997248808608,0.6479987492000139,0.6451374077162754,1.0,0.7515528516599174,-0.5466539913760335,0.761650125447211,0.4903979028384005,0.6103529041156964,0.10846711124978313
MCC,0.984393246873373,0.7871969110286627,0.5339669973573417,0.6369134419071779,0.7515528516599174,1.0,-0.5693233462850092,0.9791626850565719,0.13922825702746477,0.6468827537385811,0.08115524870487371
Log Loss,-0.5530330267520283,-0.41139979827823214,-0.20168157193298872,-0.2923238857017068,-0.5466539913760335,-0.5693233462850092,1.0,-0.5292113854296709,-0.5744186046511628,-0.15513420126618846,0.021832931117265572
Cohen's Kappa,0.997061410044066,0.8118500717058362,0.5753487294264762,0.695177796894246,0.761650125447211,0.9791626850565719,-0.5292113854296709,1.0,0.1199390042033397,0.6774684781967816,0.07183307197666197
Execution Time (s),0.11873025433094393,-0.06514153262086993,0.17437458927281616,0.05053471428353974,0.4903979028384005,0.13922825702746477,-0.5744186046511628,0.1199390042033397,1.0,-0.39391919733277264,-0.2573166881677728
CV Accuracy (Mean),0.6854623432776936,0.8356203101234847,0.28943474192815205,0.5769401464106888,0.6103529041156964,0.6468827537385811,-0.15513420126618846,0.6774684781967816,-0.39391919733277264,1.0,0.08922985399247034
CV Accuracy (Std Dev),0.07115427147459014,0.23098032323694825,0.45615413820455,0.3186599537717952,0.10846711124978313,0.08115524870487371,0.021832931117265572,0.07183307197666197,-0.2573166881677728,0.08922985399247034,1.0
