method,AUC-PR
metoda1-1,0.7686904761904761
metoda1-2,0.7959126984126984
metoda1-3,0.7527380952380952
metoda1-4,0.7686904761904761
metoda1-5,0.7527380952380952
metoda10,0.8643253968253969
metoda11,0.848558201058201
metoda12-catboost,0.856547619047619
metoda12-rf,0.9188095238095237
metoda13,0.918148148148148
metoda14,0.9877777777777778
metoda15,0.8248015873015873
metoda16,0.8251851851851851
metoda17,0.8083994708994707
metoda18,0.8985582010582011
metoda19,0.9582142857142856
metoda2,0.8248015873015873
metoda20,0.8248015873015873
metoda3,0.812579365079365
metoda4,0.7414682539682539
metoda5,0.9371428571428572
metoda6,0.8248015873015873
metoda7,0.8399603174603175
metoda8,0.8248015873015873
metoda9,0.937579365079365
