,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.8323181763028996,0.7962730260886945,0.9002783548014792,0.8710439077592939,0.9992653316777343,-0.6053279852724922,1.0,0.15288263730813942,0.15087198589295842,-0.05620969982240643
Precision,0.8323181763028996,1.0,0.6559463402114842,0.880142128453924,0.7148242014966806,0.8349217788154123,-0.7256956030188165,0.8323181763029,-0.0008234498490340461,0.10491594339856286,0.09483401987192651
Recall,0.7962730260886945,0.6559463402114842,1.0,0.9321198109348955,0.571440039585113,0.7889525282700931,-0.288961762455098,0.7962730260886947,0.38996069359540103,0.2919076635403975,-0.0066435701677868796
F1-Score,0.9002783548014792,0.880142128453924,0.9321198109348955,1.0,0.7079909762445853,0.8953328085160963,-0.5451504996469673,0.9002783548014792,0.23186578784156195,0.2317860807527308,0.028489757008945245
ROC-AUC,0.8710439077592939,0.7148242014966806,0.571440039585113,0.7079909762445853,1.0,0.8738957820211894,-0.6681548594409006,0.871043907759294,0.14933016666881224,0.14351715939297596,-0.11427265474793456
MCC,0.9992653316777343,0.8349217788154123,0.7889525282700931,0.8953328085160963,0.8738957820211894,1.0,-0.6055949718237716,0.9992653316777345,0.15307372713077244,0.1480290311107602,-0.049265064804918296
Log Loss,-0.6053279852724922,-0.7256956030188165,-0.288961762455098,-0.5451504996469673,-0.6681548594409006,-0.6055949718237716,1.0,-0.6053279852724923,-0.002383082878186525,0.001401761446603968,0.19462018080670632
Cohen's Kappa,1.0,0.8323181763029,0.7962730260886947,0.9002783548014792,0.871043907759294,0.9992653316777345,-0.6053279852724923,1.0,0.1528826373081395,0.15087198589295886,-0.05620969982240684
Execution Time (s),0.15288263730813942,-0.0008234498490340461,0.38996069359540103,0.23186578784156195,0.14933016666881224,0.15307372713077244,-0.002383082878186525,0.1528826373081395,1.0,0.06532926926083087,-0.15953796640212847
CV Accuracy (Mean),0.15087198589295842,0.10491594339856286,0.2919076635403975,0.2317860807527308,0.14351715939297596,0.1480290311107602,0.001401761446603968,0.15087198589295886,0.06532926926083087,1.0,-0.6308609130951336
CV Accuracy (Std Dev),-0.05620969982240643,0.09483401987192651,-0.0066435701677868796,0.028489757008945245,-0.11427265474793456,-0.049265064804918296,0.19462018080670632,-0.05620969982240684,-0.15953796640212847,-0.6308609130951336,1.0
