,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.9022934736123625,0.8621425269110846,0.9689878826436501,0.9088599341150685,0.9835669565875031,-0.6245744080314435,0.9985990186255942,-0.10133562049500061,0.21267186578340877,0.04305495292639263
Precision,0.9022934736123625,1.0,0.6803519557251518,0.8902250475787757,0.8064391261452424,0.9357780364765231,-0.5685477013990623,0.8947257174294082,-0.2656583734368061,0.04304748764032854,0.30002876153204966
Recall,0.8621425269110846,0.6803519557251518,1.0,0.9051414084571988,0.7582681757869542,0.824762410095557,-0.5653984344728241,0.860934681288799,0.16752546206602198,0.14092484906542263,-0.1161462498867716
F1-Score,0.9689878826436501,0.8902250475787757,0.9051414084571988,1.0,0.8619381431451467,0.9623740056831994,-0.5733669423472731,0.9640859151564369,-0.09342896085577608,0.22736427873770568,0.12145799532035606
ROC-AUC,0.9088599341150685,0.8064391261452424,0.7582681757869542,0.8619381431451467,1.0,0.8968735478972687,-0.6421039454477976,0.901798203591025,-0.14225313846517915,0.10497679880331344,0.0038910611877843444
MCC,0.9835669565875031,0.9357780364765231,0.824762410095557,0.9623740056831994,0.8968735478972687,1.0,-0.6418461431210424,0.9798251251637773,-0.1403917243563851,0.050734539004672924,0.2800268440965797
Log Loss,-0.6245744080314435,-0.5685477013990623,-0.5653984344728241,-0.5733669423472731,-0.6421039454477976,-0.6418461431210424,1.0,-0.6103119039925723,-0.08372093023255814,0.3041765350680116,-0.059960276170808686
Cohen's Kappa,0.9985990186255942,0.8947257174294082,0.860934681288799,0.9640859151564369,0.901798203591025,0.9798251251637773,-0.6103119039925723,1.0,-0.11064364194962116,0.21267186578340877,0.04305495292639263
Execution Time (s),-0.10133562049500061,-0.2656583734368061,0.16752546206602198,-0.09342896085577608,-0.14225313846517915,-0.1403917243563851,-0.08372093023255814,-0.11064364194962116,1.0,0.1505520224073997,-0.40434750340827397
CV Accuracy (Mean),0.21267186578340877,0.04304748764032854,0.14092484906542263,0.22736427873770568,0.10497679880331344,0.050734539004672924,0.3041765350680116,0.21267186578340877,0.1505520224073997,1.0,-0.646921474756703
CV Accuracy (Std Dev),0.04305495292639263,0.30002876153204966,-0.1161462498867716,0.12145799532035606,0.0038910611877843444,0.2800268440965797,-0.059960276170808686,0.04305495292639263,-0.40434750340827397,-0.646921474756703,1.0
