method,AUC-PR
metoda1-1,0.6807407407407405
metoda1-2,0.6680820105820106
metoda1-3,0.674589947089947
metoda1-4,0.6542989417989417
metoda1-5,0.715185185185185
metoda10,0.8302116402116401
metoda11,0.766626984126984
metoda12-catboost,0.8380820105820105
metoda12-rf,0.8936904761904761
metoda13,0.9877777777777778
metoda14,0.8014021164021164
metoda15,0.7981084656084656
metoda16,0.7919312169312169
metoda17,0.6987830687830687
metoda18,0.8237169312169312
metoda19,0.8309126984126984
metoda2,0.7981084656084656
metoda20,0.8593386243386242
metoda3,0.8237037037037037
metoda4,0.7760052910052909
metoda5,0.8112169312169312
metoda6,0.7981084656084656
metoda7,0.838915343915344
metoda8,0.7981084656084656
metoda9,0.9049206349206349
