,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.8783625784183182,0.3884266327683751,0.8270780537794279,0.9026992320293746,0.9933700687690289,-0.32244506011187213,0.9999999999999997,0.4081470611650363,0.6764347883401195,0.04254980642730425
Precision,0.8783625784183182,1.0,0.2810628163670988,0.8280981061439797,0.8654618420898024,0.8565403303175869,-0.24051071113494046,0.878362578418318,0.36400449869921736,0.6871633689502307,0.0984697939598886
Recall,0.3884266327683751,0.2810628163670988,1.0,0.7668098707090477,0.22112199460949689,0.451500481162592,0.047601350610874914,0.3884266327683759,0.07763332709113273,0.6153838352764213,0.17811161205727585
F1-Score,0.8270780537794279,0.8280981061439797,0.7668098707090477,1.0,0.7213980594008629,0.8478792632941411,-0.15507127979571173,0.8270780537794286,0.30488399551874423,0.731604448601678,0.14644427744964347
ROC-AUC,0.9026992320293746,0.8654618420898024,0.22112199460949689,0.7213980594008629,1.0,0.8789134114016086,-0.3176712458787094,0.9026992320293745,0.21715254454249372,0.5541679871800289,0.31534867844938996
MCC,0.9933700687690289,0.8565403303175869,0.451500481162592,0.8478792632941411,0.8789134114016086,1.0,-0.3139266430709784,0.993370068769029,0.3989820329443404,0.6832735091243594,0.031973279620480875
Log Loss,-0.32244506011187213,-0.24051071113494046,0.047601350610874914,-0.15507127979571173,-0.3176712458787094,-0.3139266430709784,1.0,-0.32244506011187274,-0.0411720974057969,-0.05710064849972368,0.09659589807118496
Cohen's Kappa,0.9999999999999997,0.878362578418318,0.3884266327683759,0.8270780537794286,0.9026992320293745,0.993370068769029,-0.32244506011187274,1.0,0.40814706116503663,0.6764347883401193,0.042549806427304195
Execution Time (s),0.4081470611650363,0.36400449869921736,0.07763332709113273,0.30488399551874423,0.21715254454249372,0.3989820329443404,-0.0411720974057969,0.40814706116503663,1.0,0.43967936976147126,-0.3643150602115216
CV Accuracy (Mean),0.6764347883401195,0.6871633689502307,0.6153838352764213,0.731604448601678,0.5541679871800289,0.6832735091243594,-0.05710064849972368,0.6764347883401193,0.43967936976147126,1.0,-0.27595993726105894
CV Accuracy (Std Dev),0.04254980642730425,0.0984697939598886,0.17811161205727585,0.14644427744964347,0.31534867844938996,0.031973279620480875,0.09659589807118496,0.042549806427304195,-0.3643150602115216,-0.27595993726105894,1.0
