metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.6880000000000002,0.0860017226356327,0.04174154266359557,False
Precision,Shapiro-Wilk,0.6771322751322753,0.10162888252626706,0.4964572844361142,True
Recall,Shapiro-Wilk,0.7599999999999999,0.13193713430042128,0.021617488485661338,False
F1-Score,Shapiro-Wilk,0.7036083916083915,0.09508779028186853,0.4237662768806025,True
ROC-AUC,Shapiro-Wilk,0.7560000000000002,0.09775252199076785,0.1718203676093467,True
MCC,Shapiro-Wilk,0.3842119108134514,0.1737668545582716,0.1333061342701518,True
Log Loss,Shapiro-Wilk,0.7151898013660429,0.5180325166632799,1.8367178188533826e-08,False
Cohen's Kappa,Shapiro-Wilk,0.3760000000000001,0.1720034452712654,0.04174154266359484,False
Execution Time (s),Shapiro-Wilk,1104.2853665192922,1453.6999893676673,1.4935218984582619e-05,False
CV Accuracy (Mean),Shapiro-Wilk,0.6107843137254901,0.12118356949826106,0.5351062497484409,True
CV Accuracy (Std Dev),Shapiro-Wilk,0.2482875721854017,0.04908742435020862,0.07765862654088697,True
