,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.9028604430223341,0.3264274323808432,0.8082416657025713,0.8527001896987427,0.9856128917558987,-0.46480725439486353,0.9912407071619304,0.28528472121128906,0.788670788671183,-0.026133210014030846
Precision,0.9028604430223341,1.0,0.23669857790952542,0.7113342476684428,0.8309500223823043,0.8640401699497876,-0.47113343222339854,0.9021100925115855,0.34137865088974123,0.5700962243068657,-0.020012981377783692
Recall,0.3264274323808432,0.23669857790952542,1.0,0.7986290779680623,0.140584047943459,0.41923226749608317,0.26224233509035727,0.29773040666310796,-0.13806404328508975,0.595353758603738,0.24781642054059413
F1-Score,0.8082416657025713,0.7113342476684428,0.7986290779680623,1.0,0.593836989256944,0.8515157525021261,-0.12277992277992278,0.7922645381315339,0.025482625482625483,0.7721099961494128,0.0312508789433306
ROC-AUC,0.8527001896987427,0.8309500223823043,0.140584047943459,0.593836989256944,1.0,0.8224095409562773,-0.5321245178243597,0.8537865036804017,0.16029717422426004,0.4614442735694776,0.17747014212923093
MCC,0.9856128917558987,0.8640401699497876,0.41923226749608317,0.8515157525021261,0.8224095409562773,1.0,-0.39930489255655255,0.9700150126212931,0.22668469238945488,0.762620523007217,-0.025641632390285357
Log Loss,-0.46480725439486353,-0.47113343222339854,0.26224233509035727,-0.12277992277992278,-0.5321245178243597,-0.39930489255655255,1.0,-0.4994206634413136,-0.32895752895752894,0.05853091906293935,0.2937582620673076
Cohen's Kappa,0.9912407071619304,0.9021100925115855,0.29773040666310796,0.7922645381315339,0.8537865036804017,0.9700150126212931,-0.4994206634413136,1.0,0.2657645203595526,0.78125,-0.1348817585551582
Execution Time (s),0.28528472121128906,0.34137865088974123,-0.13806404328508975,0.025482625482625483,0.16029717422426004,0.22668469238945488,-0.32895752895752894,0.2657645203595526,1.0,0.32378806290136664,0.012500351577332239
CV Accuracy (Mean),0.788670788671183,0.5700962243068657,0.595353758603738,0.7721099961494128,0.4614442735694776,0.762620523007217,0.05853091906293935,0.78125,0.32378806290136664,1.0,-0.19636274617564892
CV Accuracy (Std Dev),-0.026133210014030846,-0.020012981377783692,0.24781642054059413,0.0312508789433306,0.17747014212923093,-0.025641632390285357,0.2937582620673076,-0.1348817585551582,0.012500351577332239,-0.19636274617564892,1.0
