dataset,method,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
BuzzFeed,run1-1,0.6,0.5,0.5333333333333333,0.47222222222222215,0.6133333333333333,0.2182178902359924,0.6650723878439756,0.19999999999999998,52.8086884021759,,
BuzzFeed,run1-2,0.5666666666666667,0.375,0.6666666666666666,0.47863247863247865,0.6000000000000001,0.16666666666666666,0.6842880908070471,0.13333333333333333,53.04168939590454,,
BuzzFeed,run1-3,0.5666666666666668,0.5529100529100529,0.9333333333333332,0.6904761904761904,0.68,0.1071067791248813,0.6552325017472258,0.13333333333333336,53.25960262616476,,
BuzzFeed,run1-4,0.5,0.5,1.0,0.6666666666666666,0.7333333333333334,0.0,0.6921955197453261,0.0,53.464938243230186,,
BuzzFeed,run1-5,0.5333333333333333,0.3333333333333333,0.19999999999999998,0.25,0.5466666666666666,0.05155122356932573,0.6492169257373437,0.0666666666666667,53.6961313088735,,
BuzzFeed,run10,0.6,0.6388888888888888,0.39999999999999997,0.48412698412698413,0.5333333333333333,0.20882206023328512,0.6522301434972043,0.19999999999999996,5.938002506891887,0.6333333333333333,0.2063715709852373
BuzzFeed,run11,0.5,0.4904761904761905,0.5333333333333333,0.5037037037037037,0.5066666666666667,0.006072630078664126,0.6997603022781976,0.0,5.920339663823445,0.4333333333333333,0.14831632475943926
BuzzFeed,run12-catboost,0.6,0.611111111111111,0.6,0.5909090909090909,0.5666666666666667,0.20882206023328512,0.6869183773012777,0.19999999999999996,2.1646291414896646,,
BuzzFeed,run12-rf,0.3333333333333333,0.35555555555555557,0.3333333333333333,0.34208754208754205,0.4000000000000001,-0.33883219364257533,0.8584426124313002,-0.3333333333333333,2.0772844155629477,0.5666666666666667,0.24494897427831783
BuzzFeed,run13,0.6666666666666666,0.6793650793650793,0.6666666666666666,0.6555555555555556,0.64,0.3454785934906616,0.6296059902320041,0.33333333333333326,20.035759846369427,,
BuzzFeed,run14,0.5666666666666667,0.5555555555555555,0.5333333333333333,0.5194805194805195,0.6133333333333333,0.13608276348795434,0.7276159679778927,0.13333333333333333,6.120881080627441,,
BuzzFeed,run15,0.43333333333333335,0.3238095238095238,0.4000000000000001,0.35555555555555557,0.43999999999999995,-0.16059403658800253,0.7537886861079487,-0.1333333333333333,2.771193742752075,0.39999999999999997,0.2299659828522119
BuzzFeed,run16,0.5666666666666667,0.5833333333333334,0.5333333333333333,0.5555555555555555,0.49333333333333335,0.13608276348795434,0.6657816875147401,0.13333333333333333,1.3456718921661377,0.5,0.2816496580927726
BuzzFeed,run17,0.5333333333333333,0.1851851851851852,0.3333333333333333,0.2380952380952381,0.6666666666666666,0.1111111111111111,0.6837355636731132,0.06666666666666664,19.44970957438151,,
BuzzFeed,run18,0.6666666666666666,0.6555555555555556,0.6,0.6043290043290043,0.6133333333333333,0.33608276348795435,0.7671045964675575,0.3333333333333333,1.4954720338185628,0.6333333333333333,0.2299659828522119
