,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.924409552058046,0.6195848361535983,0.8489668964809693,0.7142044081259751,1.0000000000000002,-0.0543604306747842,1.0000000000000002,-0.5800291664500494,,
Precision,0.924409552058046,1.0,0.8721233773246174,0.9863431317421144,0.6794332416166834,0.9244095520580458,0.06426877939688153,0.9244095520580458,-0.3404581078704356,,
Recall,0.6195848361535983,0.8721233773246174,1.0,0.9407999997227304,0.4820567600757964,0.6195848361535983,0.2020031529633227,0.6195848361535983,0.043430591608477315,,
F1-Score,0.8489668964809693,0.9863431317421144,0.9407999997227304,1.0,0.6329602097485336,0.8489668964809692,0.11252171331659706,0.8489668964809692,-0.22123921194990323,,
ROC-AUC,0.7142044081259751,0.6794332416166834,0.4820567600757964,0.6329602097485336,1.0,0.7142044081259751,-0.05374757376785908,0.7142044081259751,-0.25254945533771744,,
MCC,1.0000000000000002,0.9244095520580458,0.6195848361535983,0.8489668964809692,0.7142044081259751,1.0,-0.054360430674784035,1.0,-0.5800291664500495,,
Log Loss,-0.0543604306747842,0.06426877939688153,0.2020031529633227,0.11252171331659706,-0.05374757376785908,-0.054360430674784035,1.0,-0.054360430674784056,0.10390937252060836,,
Cohen's Kappa,1.0000000000000002,0.9244095520580458,0.6195848361535983,0.8489668964809692,0.7142044081259751,1.0,-0.054360430674784056,1.0,-0.5800291664500495,,
Execution Time (s),-0.5800291664500494,-0.3404581078704356,0.043430591608477315,-0.22123921194990323,-0.25254945533771744,-0.5800291664500495,0.10390937252060836,-0.5800291664500495,1.0,,
CV Accuracy (Mean),,,,,,,,,,,
CV Accuracy (Std Dev),,,,,,,,,,,
