metric,test,mean,std,p_value,normal_distribution,reason
Accuracy,Shapiro-Wilk,0.7233333333333333,0.18434066692263398,0.003947464420676252,False,
Precision,Shapiro-Wilk,0.5433333333333333,0.2957257237774619,0.003096487974519496,False,
Recall,Shapiro-Wilk,0.64,0.2873892701417236,0.0030033820045,False,
F1-Score,Shapiro-Wilk,0.5755555555555556,0.28458329944145994,0.037284355328513444,False,
ROC-AUC,Shapiro-Wilk,0.7166666666666667,0.25230419617479094,0.0006608841287281534,False,
MCC,Shapiro-Wilk,0.44666666666666666,0.36868133384526797,0.003947464420676252,False,
Log Loss,Shapiro-Wilk,0.7976970844524109,0.7190212590086511,7.600350702721498e-10,False,
Cohen's Kappa,Shapiro-Wilk,0.44666666666666666,0.36868133384526797,0.003947464420676252,False,
Execution Time (s),Shapiro-Wilk,4.345957546234131,5.464932616881433,1.0128788783115252e-05,False,
CV Accuracy (Mean),Shapiro-Wilk,,,,,Za mało danych do testu Shapiro-Wilka
CV Accuracy (Std Dev),Shapiro-Wilk,,,,,Za mało danych do testu Shapiro-Wilka
