,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.9108409361174441,0.6004995777173653,0.7785696277183799,0.7094536876655037,1.0,-0.6724672598986572,1.0,-0.4329256679110882,,
Precision,0.9108409361174441,1.0,0.871557739893473,0.9634021551641092,0.6773882820519825,0.9108409361174441,-0.643479745767083,0.9108409361174441,-0.1596450384485593,,
Recall,0.6004995777173653,0.871557739893473,1.0,0.9629876994963318,0.5344234529504128,0.6004995777173653,-0.515903997074028,0.6004995777173653,0.2246612813861563,,
F1-Score,0.7785696277183799,0.9634021551641092,0.9629876994963318,1.0,0.6022069040022753,0.7785696277183799,-0.6305503981751057,0.7785696277183799,0.02045453568627916,,
ROC-AUC,0.7094536876655037,0.6773882820519825,0.5344234529504128,0.6022069040022753,1.0,0.7094536876655037,-0.6503677435231633,0.7094536876655037,-0.10744498391121095,,
MCC,1.0,0.9108409361174441,0.6004995777173653,0.7785696277183799,0.7094536876655037,1.0,-0.6724672598986572,1.0,-0.4329256679110882,,
Log Loss,-0.6724672598986572,-0.643479745767083,-0.515903997074028,-0.6305503981751057,-0.6503677435231633,-0.6724672598986572,1.0,-0.6724672598986572,0.06821705426356589,,
Cohen's Kappa,1.0,0.9108409361174441,0.6004995777173653,0.7785696277183799,0.7094536876655037,1.0,-0.6724672598986572,1.0,-0.4329256679110882,,
Execution Time (s),-0.4329256679110882,-0.1596450384485593,0.2246612813861563,0.02045453568627916,-0.10744498391121095,-0.4329256679110882,0.06821705426356589,-0.4329256679110882,1.0,,
CV Accuracy (Mean),,,,,,,,,,,
CV Accuracy (Std Dev),,,,,,,,,,,
