,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.8943655261748263,0.7282454750632082,0.8577407514534898,0.12055365870334392,1.0,-0.2796495836557715,1.0,-0.2772271780757215,,
Precision,0.8943655261748263,1.0,0.842185482564726,0.9713567812258816,0.26074878884674063,0.8943655261748263,-0.2371269417164233,0.8943655261748263,-0.1496512009037892,,
Recall,0.7282454750632082,0.842185482564726,1.0,0.946187520772811,-0.12594386593378964,0.7282454750632084,0.14408929829735698,0.7282454750632084,0.12245416615488945,,
F1-Score,0.8577407514534898,0.9713567812258816,0.946187520772811,1.0,0.10099581255495192,0.8577407514534899,-0.07882117297374554,0.8577407514534899,-0.035853341014859284,,
ROC-AUC,0.12055365870334392,0.26074878884674063,-0.12594386593378964,0.10099581255495192,1.0,0.12055365870334421,-0.6078474119344494,0.12055365870334421,-0.318001838422161,,
MCC,1.0,0.8943655261748263,0.7282454750632084,0.8577407514534899,0.12055365870334421,1.0,-0.27964958365577147,1.0,-0.27722717807572167,,
Log Loss,-0.2796495836557715,-0.2371269417164233,0.14408929829735698,-0.07882117297374554,-0.6078474119344494,-0.27964958365577147,1.0,-0.2796495836557714,0.13531354220638467,,
Cohen's Kappa,1.0,0.8943655261748263,0.7282454750632084,0.8577407514534899,0.12055365870334421,1.0,-0.2796495836557714,1.0,-0.27722717807572167,,
Execution Time (s),-0.2772271780757215,-0.1496512009037892,0.12245416615488945,-0.035853341014859284,-0.318001838422161,-0.27722717807572167,0.13531354220638467,-0.27722717807572167,1.0,,
CV Accuracy (Mean),,,,,,,,,,,
CV Accuracy (Std Dev),,,,,,,,,,,
