,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.920149964932285,0.7635380788180853,0.8813310469774744,0.01944330456949394,1.0,-0.05547950410914819,1.0,0.01972604590547491,,
Precision,0.920149964932285,1.0,0.8523608406436757,0.9813877925919093,0.1635905679983442,0.920149964932285,-0.13926836743463317,0.920149964932285,0.114597970917641,,
Recall,0.7635380788180853,0.8523608406436757,1.0,0.9101972537695163,-0.20179918230788607,0.7635380788180853,0.16774842736586512,0.7635380788180853,0.3888713543481419,,
F1-Score,0.8813310469774744,0.9813877925919093,0.9101972537695163,1.0,0.08754667310667147,0.8813310469774744,-0.07092939567230104,0.8813310469774744,0.17134629291623282,,
ROC-AUC,0.01944330456949394,0.1635905679983442,-0.20179918230788607,0.08754667310667147,1.0,0.01944330456949394,-0.833851283328291,0.01944330456949394,-0.33725026626017834,,
MCC,1.0,0.920149964932285,0.7635380788180853,0.8813310469774744,0.01944330456949394,1.0,-0.05547950410914819,1.0,0.01972604590547491,,
Log Loss,-0.05547950410914819,-0.13926836743463317,0.16774842736586512,-0.07092939567230104,-0.833851283328291,-0.05547950410914819,1.0,-0.05547950410914819,0.08372093023255814,,
Cohen's Kappa,1.0,0.920149964932285,0.7635380788180853,0.8813310469774744,0.01944330456949394,1.0,-0.05547950410914819,1.0,0.01972604590547491,,
Execution Time (s),0.01972604590547491,0.114597970917641,0.3888713543481419,0.17134629291623282,-0.33725026626017834,0.01972604590547491,0.08372093023255814,0.01972604590547491,1.0,,
CV Accuracy (Mean),,,,,,,,,,,
CV Accuracy (Std Dev),,,,,,,,,,,
