,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.912643306088853,0.15107054349750546,0.7663159553142397,0.4470082078826971,1.0,-0.10408534659038055,1.0,0.09083458134312894,,
Precision,0.912643306088853,1.0,0.5419391019896498,0.9619846712770536,0.4411309018492255,0.9126433060888532,-0.042414804043441334,0.9126433060888532,0.09358727654171363,,
Recall,0.15107054349750546,0.5419391019896498,1.0,0.7508580949739295,0.14775139122957553,0.15107054349750557,0.11142849470387821,0.15107054349750557,0.03956918887904363,,
F1-Score,0.7663159553142397,0.9619846712770536,0.7508580949739295,1.0,0.39468740250401235,0.7663159553142398,0.002877227614958748,0.7663159553142398,0.08640639419727439,,
ROC-AUC,0.4470082078826971,0.4411309018492255,0.14775139122957553,0.39468740250401235,1.0,0.44700820788269724,-0.14163274849644755,0.44700820788269724,0.41659153287599976,,
MCC,1.0,0.9126433060888532,0.15107054349750557,0.7663159553142398,0.44700820788269724,1.0,-0.10408534659038036,1.0,0.09083458134312886,,
Log Loss,-0.10408534659038055,-0.042414804043441334,0.11142849470387821,0.002877227614958748,-0.14163274849644755,-0.10408534659038036,1.0,-0.10408534659038039,-0.011421280816216196,,
Cohen's Kappa,1.0,0.9126433060888532,0.15107054349750557,0.7663159553142398,0.44700820788269724,1.0,-0.10408534659038039,1.0,0.09083458134312886,,
Execution Time (s),0.09083458134312894,0.09358727654171363,0.03956918887904363,0.08640639419727439,0.41659153287599976,0.09083458134312886,-0.011421280816216196,0.09083458134312886,1.0,,
CV Accuracy (Mean),,,,,,,,,,,
CV Accuracy (Std Dev),,,,,,,,,,,
