metric,test,mean,std,p_value,normal_distribution,reason
Accuracy,Shapiro-Wilk,0.8233333333333333,0.11365151414154881,0.0005318683437439798,False,
Precision,Shapiro-Wilk,0.8033333333333332,0.13368010461684407,0.006033635195402455,False,
Recall,Shapiro-Wilk,0.96,0.11055415967851334,3.2163846856687107e-09,False,
F1-Score,Shapiro-Wilk,0.8555555555555556,0.11340230290662863,0.0065247950239327125,False,
ROC-AUC,Shapiro-Wilk,0.8433333333333333,0.1672212993699157,1.996278315807572e-06,False,
MCC,Shapiro-Wilk,0.6466666666666667,0.2273030282830976,0.0005318683437439809,False,
Log Loss,Shapiro-Wilk,0.6511514007585858,0.7618615383271697,1.194964196859633e-09,False,
Cohen's Kappa,Shapiro-Wilk,0.6466666666666667,0.2273030282830976,0.0005318683437439809,False,
Execution Time (s),Shapiro-Wilk,1000.3192916440966,1496.984174349562,2.7071445049290634e-06,False,
CV Accuracy (Mean),Shapiro-Wilk,,,,,Za mało danych do testu Shapiro-Wilka
CV Accuracy (Std Dev),Shapiro-Wilk,,,,,Za mało danych do testu Shapiro-Wilka
