,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.9136100791019158,0.13978045988750498,0.8602602519090213,0.4244405903992048,1.0,0.05311691693597809,1.0,0.3494755884121098,,
Precision,0.9136100791019158,1.0,0.507726496537452,0.9924899698820007,0.4120277479483209,0.9136100791019158,0.18867169075039195,0.9136100791019158,0.2756247308353552,,
Recall,0.13978045988750498,0.507726496537452,1.0,0.5938980008383119,0.15508070173307847,0.13978045988750498,0.2913077929082355,0.13978045988750498,-0.01713575252401385,,
F1-Score,0.8602602519090213,0.9924899698820007,0.5938980008383119,1.0,0.40294676943446556,0.8602602519090213,0.23732505537145232,0.8602602519090213,0.2409887354715262,,
ROC-AUC,0.4244405903992048,0.4120277479483209,0.15508070173307847,0.40294676943446556,1.0,0.4244405903992048,-0.18766732003660277,0.4244405903992048,0.4814456014023127,,
MCC,1.0,0.9136100791019158,0.13978045988750498,0.8602602519090213,0.4244405903992048,1.0,0.05311691693597809,1.0,0.3494755884121098,,
Log Loss,0.05311691693597809,0.18867169075039195,0.2913077929082355,0.23732505537145232,-0.18766732003660277,0.05311691693597809,1.0,0.05311691693597809,-0.008527131782945736,,
Cohen's Kappa,1.0,0.9136100791019158,0.13978045988750498,0.8602602519090213,0.4244405903992048,1.0,0.05311691693597809,1.0,0.3494755884121098,,
Execution Time (s),0.3494755884121098,0.2756247308353552,-0.01713575252401385,0.2409887354715262,0.4814456014023127,0.3494755884121098,-0.008527131782945736,0.3494755884121098,1.0,,
CV Accuracy (Mean),,,,,,,,,,,
CV Accuracy (Std Dev),,,,,,,,,,,
