method,AUC-PR,rank,dataset
metoda1-2,0.763419315491166,1,BuzzFeed
metoda1-1,0.7527131227000375,2,BuzzFeed
metoda11,0.726591113516603,3,BuzzFeed
metoda17,0.7040522505844947,4,BuzzFeed
metoda10,0.6785040610073049,5,BuzzFeed
metoda3,0.67823221235353,6,BuzzFeed
metoda12-catboost,0.6762424582794265,7,BuzzFeed
metoda13,0.6742990776375767,8,BuzzFeed
metoda15,0.6670620507842343,9,BuzzFeed
metoda6,0.6670620507842343,10,BuzzFeed
metoda20,0.6670620507842343,11,BuzzFeed
metoda8,0.6670620507842343,12,BuzzFeed
metoda2,0.6670620507842343,13,BuzzFeed
metoda7,0.6566411904742865,14,BuzzFeed
metoda1-4,0.6516397729935535,15,BuzzFeed
metoda5,0.6462682880794721,16,BuzzFeed
metoda4,0.6445261069553181,17,BuzzFeed
metoda9,0.6391333107857136,18,BuzzFeed
metoda14,0.6324337857008788,19,BuzzFeed
metoda1-3,0.6267243684046497,20,BuzzFeed
metoda12-rf,0.623433907520845,21,BuzzFeed
metoda16,0.6137689925337405,22,BuzzFeed
metoda1-5,0.5819679356606602,23,BuzzFeed
metoda19,0.5640447600774317,24,BuzzFeed
metoda18,0.5513378814419128,25,BuzzFeed
