method,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Cohen's Kappa,AUC-PR
metoda1-1,0.6024024024024024,0.48148148148148145,0.5419753086419754,0.4629629629629629,0.734333983105913,0.19974758999133413,0.19724373924149036,0.7527131227000375
metoda1-2,0.5207207207207207,0.3611528194861528,0.5617283950617283,0.39746837524615297,0.748408057179987,0.04842759689583469,0.04507329758949093,0.763419315491166
metoda1-3,0.5177177177177178,0.4575766242432909,0.8666666666666667,0.5964886964886964,0.5528525016244314,0.035702259708293764,0.04444444444444445,0.6267243684046497
metoda1-4,0.5015015015015014,0.38738738738738737,0.7777777777777778,0.5171717171717172,0.5712800519818064,0.0180246023478625,0.005698005698005711,0.6516397729935535
metoda1-5,0.5336336336336336,0.3015873015873016,0.35061728395061725,0.3009259259259259,0.4963872644574399,0.05669296602638198,0.06078431372549019,0.5819679356606602
metoda10,0.6759759759759759,0.6369335173683,0.5530864197530865,0.5813169441218222,0.614100064977258,0.3555929019168482,0.352246075693707,0.6785040610073049
metoda11,0.6306306306306306,0.5687830687830687,0.5851851851851851,0.5728345079222272,0.7072254710851202,0.26372708845479953,0.26122445096427704,0.726591113516603
metoda12-catboost,0.7,0.6505291005291005,0.6382716049382716,0.636105999263894,0.6391812865497076,0.405530848618064,0.39976820897455645,0.6762424582794265
metoda12-rf,0.5255255255255256,0.4166666666666667,0.41358024691358025,0.4135152696556205,0.5508122157244965,0.04945139852135751,0.050920277208149185,0.623433907520845
metoda13,0.7012012012012012,0.655978835978836,0.6419753086419753,0.6397511941116591,0.6330864197530864,0.4080348179418178,0.4026153603709069,0.6742990776375767
metoda14,0.5942942942942943,0.4728395061728395,0.4308641975308642,0.4389663834108279,0.6225730994152047,0.18673811405630797,0.18639631929118494,0.6324337857008788
metoda15,0.6152027027027027,0.5687111801242236,0.6152777777777778,0.5881774018978579,0.6350292397660819,0.22088238703973762,0.23100488330033586,0.6670620507842343
metoda16,0.5357357357357357,0.370216049382716,0.3382716049382716,0.3527101076120684,0.524093567251462,0.07142028546077424,0.070444929648039,0.6137689925337405
metoda17,0.5186186186186187,0.34443967777301115,0.6296296296296295,0.4413438413438413,0.6504223521767382,0.058670135868850025,0.04357108199902958,0.7040522505844947
metoda18,0.56006006006006,0.4951460777547734,0.5950617283950617,0.5155003984272277,0.5033398310591293,0.12205309289192982,0.12009631545374294,0.5513378814419128
metoda19,0.6054054054054054,0.478346490111196,0.4901234567901235,0.47914862914862916,0.5024561403508773,0.21086896672807168,0.2105153269424146,0.5640447600774317
metoda2,0.6152027027027027,0.5687111801242236,0.6152777777777778,0.5881774018978579,0.6350292397660819,0.22088238703973762,0.23100488330033586,0.6670620507842343
metoda20,0.6152027027027027,0.5687111801242236,0.6152777777777778,0.5881774018978579,0.6350292397660819,0.22088238703973762,0.23100488330033586,0.6670620507842343
metoda3,0.5762762762762763,0.4838279273061882,0.4679012345679012,0.4673009332980638,0.6527225471085121,0.1421006768693915,0.15331682688977233,0.67823221235353
metoda4,0.5233108108108108,0.483093419506463,0.6819444444444445,0.5493815486283204,0.5198099415204679,0.03781322950058541,0.05039263840237671,0.6445261069553181
metoda5,0.5891891891891893,0.4563492063492063,0.4802469135802469,0.46314102564102566,0.6150877192982456,0.18409945193246935,0.1783186345862945,0.6462682880794721
metoda6,0.6152027027027027,0.5687111801242236,0.6152777777777778,0.5881774018978579,0.6350292397660819,0.22088238703973762,0.23100488330033586,0.6670620507842343
metoda7,0.575075075075075,0.46221108326371485,0.4962962962962963,0.47590807590807593,0.601812865497076,0.1515509152273356,0.15016815367982952,0.6566411904742865
metoda8,0.6152027027027027,0.5687111801242236,0.6152777777777778,0.5881774018978579,0.6350292397660819,0.22088238703973762,0.23100488330033586,0.6670620507842343
metoda9,0.5468468468468468,0.4338206627680312,0.4395061728395062,0.43530881359828727,0.5837686809616635,0.09257588102259884,0.09322792725014926,0.6391333107857136
