metric,method,test,mean,std,p_value,normal_distribution
Accuracy,metoda1-1,Shapiro-Wilk,0.6024024024024024,0.1702223319925316,0.0011598773752253026,False
Accuracy,metoda1-2,Shapiro-Wilk,0.5207207207207207,0.06633714519821653,0.0002768170166961647,False
Accuracy,metoda1-3,Shapiro-Wilk,0.5177177177177178,0.10420204063491122,0.00011970376548087941,False
Accuracy,metoda1-4,Shapiro-Wilk,0.5015015015015015,0.007656185455845007,0.012213137284604651,False
Accuracy,metoda1-5,Shapiro-Wilk,0.5336336336336337,0.12954886736348292,0.05157750537609699,True
Accuracy,metoda10,Shapiro-Wilk,0.6759759759759759,0.19367250856046564,0.1345743271850297,True
Accuracy,metoda11,Shapiro-Wilk,0.6306306306306306,0.2070857458343026,0.017116422717453447,False
Accuracy,metoda12-catboost,Shapiro-Wilk,0.7,0.17719600856813764,0.09414601534553159,True
Accuracy,metoda12-rf,Shapiro-Wilk,0.5255255255255256,0.21988298867554323,0.15817365728684607,True
Accuracy,metoda13,Shapiro-Wilk,0.7012012012012012,0.18486306968866142,0.1248633735161358,True
Accuracy,metoda14,Shapiro-Wilk,0.5942942942942943,0.1586734045812135,0.0010532503658089115,False
Accuracy,metoda15,Shapiro-Wilk,0.6152027027027027,0.24212180489909782,0.18218923792594144,True
Accuracy,metoda16,Shapiro-Wilk,0.5357357357357357,0.08601389062454598,0.8006792003502642,True
Accuracy,metoda17,Shapiro-Wilk,0.5186186186186186,0.04241788248170468,0.00028923592818793915,False
Accuracy,metoda18,Shapiro-Wilk,0.56006006006006,0.122295615124746,0.14981577191303375,True
Accuracy,metoda19,Shapiro-Wilk,0.6054054054054053,0.17438891184262473,0.08401856288533707,True
Accuracy,metoda20,Shapiro-Wilk,0.6152027027027027,0.24212180489909782,0.18218923792594144,True
Accuracy,metoda2,Shapiro-Wilk,0.6152027027027027,0.24212180489909782,0.18218923792594144,True
Accuracy,metoda3,Shapiro-Wilk,0.5762762762762763,0.2352741219748351,0.0061892474288348575,False
Accuracy,metoda4,Shapiro-Wilk,0.5233108108108109,0.192419039448147,0.004026570288253437,False
Accuracy,metoda5,Shapiro-Wilk,0.5891891891891893,0.19216028263632298,0.18191400682355607,True
Accuracy,metoda6,Shapiro-Wilk,0.6152027027027027,0.24212180489909782,0.18218923792594144,True
Accuracy,metoda7,Shapiro-Wilk,0.5750750750750752,0.1755475521595084,0.036992705745533115,False
Accuracy,metoda8,Shapiro-Wilk,0.6152027027027027,0.24212180489909782,0.18218923792594144,True
Accuracy,metoda9,Shapiro-Wilk,0.5468468468468468,0.1902799956564465,0.1628360717318651,True
Precision,metoda1-1,Shapiro-Wilk,0.48148148148148157,0.3884477215445006,0.08637919208492545,True
Precision,metoda1-2,Shapiro-Wilk,0.3611528194861528,0.2626468143795909,0.012744635783798338,False
Precision,metoda1-3,Shapiro-Wilk,0.4575766242432909,0.17743698316338505,0.0011106069241725405,False
Precision,metoda1-4,Shapiro-Wilk,0.38738738738738737,0.20710926004635405,2.2276478772339023e-05,False
Precision,metoda1-5,Shapiro-Wilk,0.3015873015873016,0.3638696313126238,0.01361070101807203,False
Precision,metoda10,Shapiro-Wilk,0.6369335173683,0.2885731444772419,0.3186832066585511,True
Precision,metoda11,Shapiro-Wilk,0.5687830687830687,0.2863934706145341,0.24534796691679028,True
Precision,metoda12-catboost,Shapiro-Wilk,0.6505291005291005,0.2807186225499322,0.1516109556895175,True
