method,AUC-PR,rank,dataset
metoda9,0.8337198902292268,1,ISOT
metoda18,0.8184064187693771,2,ISOT
metoda10,0.8080550557810324,3,ISOT
metoda11,0.80608870633458,4,ISOT
metoda12-catboost,0.7986517854348105,5,ISOT
metoda7,0.7983456769562082,6,ISOT
metoda17,0.7865396506573118,7,ISOT
metoda1-2,0.7841432959083026,8,ISOT
metoda3,0.7777353896098823,9,ISOT
metoda1-1,0.7749174099685235,10,ISOT
metoda14,0.7748378998665287,11,ISOT
metoda1-4,0.774465605579898,12,ISOT
metoda1-3,0.7700426022804534,13,ISOT
metoda1-5,0.7697504574941001,14,ISOT
metoda19,0.7632671755330984,15,ISOT
metoda15,0.7600022886795441,16,ISOT
metoda2,0.7600022886795441,17,ISOT
metoda20,0.7600022886795441,18,ISOT
metoda6,0.7600022886795441,19,ISOT
metoda8,0.7600022886795441,20,ISOT
metoda5,0.7521269143345071,21,ISOT
metoda12-rf,0.74742703976,22,ISOT
metoda13,0.7453440129941025,23,ISOT
metoda16,0.72064141367958,24,ISOT
metoda4,0.6686349909688148,25,ISOT
