method,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Cohen's Kappa,AUC-PR
metoda1-1,0.6609378866617175,0.6231784002223867,0.5639850351882374,0.5839242759445029,0.7749251766874169,0.329638795961973,0.3227544635089785,0.7749174099685235
metoda1-2,0.7017322444939371,0.6537812118377953,0.6187740365748371,0.6308259160610784,0.77039671784105,0.4079405168707509,0.40330334943758595,0.7841432959083026
metoda1-3,0.7171615936649345,0.7292110153380347,0.685100593883264,0.7020929593571437,0.7661496207337616,0.43819478800251727,0.43417913440235506,0.7700426022804534
metoda1-4,0.6575847562484534,0.6274089011059562,0.541966878580959,0.576867265358336,0.7745671882198266,0.3196592442452096,0.3132739903657266,0.774465605579898
metoda1-5,0.7260455332838407,0.7396877877726334,0.6964550139968082,0.711245277956439,0.7662062899651919,0.45877426998578497,0.45280310675620977,0.7697504574941001
metoda10,0.7727418955704033,0.7594718800569173,0.786740967480313,0.7715221609539964,0.7934509750537698,0.5476694955187194,0.544841561428578,0.8080550557810324
metoda11,0.7399653551101212,0.7505675016515511,0.6987677576328388,0.7199996244688259,0.7771911002177061,0.48228773139330233,0.4793050786210068,0.80608870633458
metoda12-catboost,0.7513857955951497,0.7642230358597774,0.7153912565732674,0.7348584435223984,0.7785769209558026,0.5062601489903586,0.5023895223115576,0.7986517854348105
metoda12-rf,0.7726305369957931,0.7343578840200718,0.7366193129790963,0.7238234676981513,0.7082860206883931,0.547339096243546,0.5443261633263381,0.74742703976
metoda13,0.7308463251670378,0.7274434802266487,0.7974413311357036,0.7492317882442427,0.6908120248151314,0.46952894698849534,0.4615574074472786,0.7453440129941025
metoda14,0.7797451125958922,0.7137061498135169,0.7923920152787588,0.7410436602415387,0.7266282492171955,0.5649748281655698,0.558792725809027,0.7748378998665287
metoda15,0.7567093541202672,0.7596617919268501,0.799134683305863,0.7677816918694342,0.7390659882659867,0.5140297886293811,0.5128324562080149,0.7600022886795441
metoda16,0.6908067310071764,0.6194904463926622,0.6145095884676766,0.6142038382290952,0.6822024107650446,0.38083190914215037,0.3809119850055608,0.72064141367958
metoda17,0.6519178421182876,0.5240319452223133,0.5971430813907856,0.554224767118691,0.7558720040172139,0.3147286236257139,0.30585319867579863,0.7865396506573118
metoda18,0.6929349170997278,0.712121672323579,0.7199958140386679,0.7043060375059925,0.7832476966281791,0.3890435080320321,0.3853486222966099,0.8184064187693771
metoda19,0.7291635733729275,0.6854469607697307,0.6560500222379196,0.6643250413444425,0.7146504862412971,0.4657160984684013,0.45777922335276067,0.7632671755330984
metoda2,0.7567093541202672,0.7596617919268501,0.799134683305863,0.7677816918694342,0.7390659882659867,0.5140297886293811,0.5128324562080149,0.7600022886795441
metoda20,0.7567093541202672,0.7596617919268501,0.799134683305863,0.7677816918694342,0.7390659882659867,0.5140297886293811,0.5128324562080149,0.7600022886795441
metoda3,0.7679163573372928,0.76265202319879,0.8167438453287288,0.7785305160363543,0.759435991901341,0.538187077724857,0.535290080796279,0.7777353896098823
metoda4,0.5774498886414253,0.5809131911418169,0.8116140805274311,0.6520266944205987,0.5554740053144485,0.16234741473794742,0.16115051115626514,0.6686349909688148
metoda5,0.7542934917099727,0.7086862036487482,0.7217748476048453,0.7039920630966533,0.706891784469932,0.5097795846180425,0.5078137178796582,0.7521269143345071
metoda6,0.7567093541202672,0.7596617919268501,0.799134683305863,0.7677816918694342,0.7390659882659867,0.5140297886293811,0.5128324562080149,0.7600022886795441
metoda7,0.7321207621875774,0.741037581540721,0.7145279020485048,0.7264348094828851,0.7772309159356892,0.46576517238765347,0.46379799688007295,0.7983456769562082
metoda8,0.7567093541202672,0.7596617919268501,0.799134683305863,0.7677816918694342,0.7390659882659867,0.5140297886293811,0.5128324562080149,0.7600022886795441
metoda9,0.7143033902499382,0.7150593660146772,0.761196138450671,0.7266926283870776,0.806043882757949,0.4316312411170815,0.4278566962307816,0.8337198902292268
