metric,method,test,mean,std,p_value,normal_distribution
Accuracy,metoda1-1,Shapiro-Wilk,0.6609378866617175,0.2891439526199256,0.1916008056503164,True
Accuracy,metoda1-2,Shapiro-Wilk,0.7017322444939371,0.30255991567873775,0.10534796257015339,True
Accuracy,metoda1-3,Shapiro-Wilk,0.7171615936649344,0.3005637790946484,0.04034178335050797,False
Accuracy,metoda1-4,Shapiro-Wilk,0.6575847562484534,0.28754181037480026,0.18887123699490138,True
Accuracy,metoda1-5,Shapiro-Wilk,0.7260455332838406,0.29690010812338646,0.031745218024225655,False
Accuracy,metoda10,Shapiro-Wilk,0.7727418955704033,0.30435544913356116,0.0046630166806208495,False
Accuracy,metoda11,Shapiro-Wilk,0.7399653551101212,0.30402737472366,0.018637113801411254,False
Accuracy,metoda12-catboost,Shapiro-Wilk,0.7513857955951497,0.3034781669758218,0.013657587628450152,False
Accuracy,metoda12-rf,Shapiro-Wilk,0.7726305369957931,0.18435777988632052,0.25098437939792995,True
Accuracy,metoda13,Shapiro-Wilk,0.7308463251670378,0.3032050943748642,0.03902865841301443,False
Accuracy,metoda14,Shapiro-Wilk,0.7797451125958921,0.182462884577035,0.19881781345971722,True
Accuracy,metoda15,Shapiro-Wilk,0.7567093541202673,0.17986820180547208,0.3475282464480637,True
Accuracy,metoda16,Shapiro-Wilk,0.6908067310071764,0.3190473545024742,0.14897965516455514,True
Accuracy,metoda17,Shapiro-Wilk,0.6519178421182875,0.3011459390266813,0.17959323143826467,True
Accuracy,metoda18,Shapiro-Wilk,0.6929349170997278,0.29534918789188946,0.10662286278559197,True
Accuracy,metoda19,Shapiro-Wilk,0.7291635733729276,0.29951201756118495,0.034004822838080304,False
Accuracy,metoda20,Shapiro-Wilk,0.7567093541202673,0.17986820180547208,0.3475282464480637,True
Accuracy,metoda2,Shapiro-Wilk,0.7567093541202673,0.17986820180547208,0.3475282464480637,True
Accuracy,metoda3,Shapiro-Wilk,0.7679163573372928,0.17232663718082292,0.4906323744088048,True
Accuracy,metoda4,Shapiro-Wilk,0.5774498886414254,0.09559078032814478,0.1316578787807603,True
Accuracy,metoda5,Shapiro-Wilk,0.7542934917099727,0.18489060665125798,0.14705457802179922,True
Accuracy,metoda6,Shapiro-Wilk,0.7567093541202673,0.17986820180547208,0.3475282464480637,True
Accuracy,metoda7,Shapiro-Wilk,0.7321207621875774,0.29221224678148117,0.02232130861773384,False
Accuracy,metoda8,Shapiro-Wilk,0.7567093541202673,0.17986820180547208,0.3475282464480637,True
Accuracy,metoda9,Shapiro-Wilk,0.714303390249938,0.29435903104741457,0.04525143264731324,False
Precision,metoda1-1,Shapiro-Wilk,0.6231784002223866,0.3657737474539926,0.03829209840424252,False
Precision,metoda1-2,Shapiro-Wilk,0.6537812118377953,0.3768812230820979,0.020179024442733173,False
Precision,metoda1-3,Shapiro-Wilk,0.7292110153380347,0.3070529947357298,0.022064433484425244,False
Precision,metoda1-4,Shapiro-Wilk,0.6274089011059562,0.36678302603911234,0.044458777802377426,False
Precision,metoda1-5,Shapiro-Wilk,0.7396877877726334,0.30356622058560434,0.01819144035734456,False
