method,AUC-PR,rank,dataset
metoda13,0.9556080157734088,1,WELFake
metoda12-rf,0.9248062349120956,2,WELFake
metoda9,0.9207321895188332,3,WELFake
metoda5,0.8981699452109386,4,WELFake
metoda14,0.8954533211142837,5,WELFake
metoda18,0.8932013097917704,6,WELFake
metoda16,0.8923151625256303,7,WELFake
metoda20,0.8863083674880122,8,WELFake
metoda2,0.8633470579642026,9,WELFake
metoda8,0.8633470579642026,10,WELFake
metoda15,0.8633470579642026,11,WELFake
metoda6,0.8633470579642026,12,WELFake
metoda17,0.8469034943032007,13,WELFake
metoda19,0.8265635361794212,14,WELFake
metoda10,0.8125775474550109,15,WELFake
metoda7,0.8110739503646138,16,WELFake
metoda12-catboost,0.8109176917104516,17,WELFake
metoda4,0.8054150564503801,18,WELFake
metoda3,0.7988549635211606,19,WELFake
metoda11,0.791241024956275,20,WELFake
metoda1-5,0.7729797612194732,21,WELFake
metoda1-1,0.762312084794811,22,WELFake
metoda1-3,0.7579342106694797,23,WELFake
metoda1-2,0.757521942938065,24,WELFake
metoda1-4,0.7526729850872393,25,WELFake
