method,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Cohen's Kappa,AUC-PR
metoda1-1,0.717149924133774,0.7301150990514979,0.8465875190258751,0.769293668260177,0.709860244376797,0.44579733934686505,0.4344017497910325,0.762312084794811
metoda1-2,0.7296377127891751,0.7260750389769277,0.9227275494672755,0.7955655413725676,0.700208389706297,0.4590931830746269,0.4473024747870039,0.757521942938065
metoda1-3,0.7321665869898083,0.7206834491994765,0.95179299847793,0.8051309868018008,0.702556032083263,0.4784170304870183,0.4529466472799698,0.7579342106694797
metoda1-4,0.7210762611460997,0.7238155056187535,0.9109893455098934,0.7848145088026475,0.6954259523507527,0.4598817548945948,0.43550789372885745,0.7526729850872393
metoda1-5,0.7260092979429513,0.6253080100818654,0.6963287671232876,0.6531377865038196,0.7176633679674729,0.44625575958629604,0.4453913073981525,0.7729797612194732
metoda10,0.761885362321853,0.7778615724224044,0.8416560121765602,0.7979326649047258,0.7505156082642765,0.5229672658038987,0.5200054732047962,0.8125775474550109
metoda11,0.6581163004995392,0.6703829755137602,0.8201400304414004,0.7203261941081084,0.7097039573820396,0.2968253125809704,0.31145304445108074,0.791241024956275
metoda12-catboost,0.7300257044473545,0.7786917039893861,0.7842678843226788,0.7652382810699712,0.7400843806372963,0.45477627794148934,0.46127447745378686,0.8109176917104516
metoda12-rf,0.7193878045907727,0.7201655236482103,0.872779299847793,0.7755811550232372,0.9055425307584982,0.4366743769029833,0.4341215229374731,0.9248062349120956
metoda13,0.836034725253407,0.787450831046523,0.7905266362252664,0.7878018055502631,0.9405002783415074,0.6733763801709733,0.671106993080706,0.9556080157734088
metoda14,0.7600929794295137,0.7656365869792376,0.8270197869101978,0.7852421168666943,0.8422698080500592,0.5198432371109837,0.5169952318626193,0.8954533211142837
metoda15,0.7786267693458877,0.8076655458231196,0.7579041095890411,0.7798094320639066,0.8273577488822299,0.561005851171565,0.5580815066209625,0.8633470579642026
metoda16,0.7815392183353773,0.7835738306340468,0.8746910197869102,0.8185868812950878,0.8688870294619201,0.5601602131983305,0.5590742698544846,0.8923151625256303
metoda17,0.664853498506925,0.6232727359939728,0.8044687975646879,0.6835157263467218,0.814212349026157,0.31307109311038933,0.31096357007453435,0.8469034943032007
metoda18,0.7375222575571768,0.7612012207593714,0.7866544901065449,0.7621785969285536,0.8602907188962173,0.47497728284723867,0.4730156916178447,0.8932013097917704
metoda19,0.7537742581391643,0.7008788018525357,0.7797503805175039,0.7302941632871456,0.7942370403841817,0.5049058930351,0.5037921513756571,0.8265635361794212
metoda2,0.7786267693458877,0.8076655458231196,0.7579041095890411,0.7798094320639066,0.8273577488822299,0.561005851171565,0.5580815066209625,0.8633470579642026
metoda20,0.7911267693458877,0.8326655458231196,0.7579041095890411,0.7909205431750177,0.8523577488822299,0.5880679237875307,0.5830815066209625,0.8863083674880122
metoda3,0.6764773128806302,0.6989044058880979,0.7814916286149163,0.7183398073261009,0.738785621547156,0.35691554404558823,0.3533630298381094,0.7988549635211606
metoda4,0.6463342582777327,0.674394962920528,0.7994246575342465,0.7057404759493845,0.6758482993642188,0.2802025944304258,0.27736257017317145,0.8054150564503801
metoda5,0.7811165845648604,0.7697986587190713,0.9193302891933028,0.8278447893020444,0.8945644968360674,0.5661721940412527,0.5580735404621795,0.8981699452109386
metoda6,0.7786267693458877,0.8076655458231196,0.7579041095890411,0.7798094320639066,0.8273577488822299,0.561005851171565,0.5580815066209625,0.8633470579642026
metoda7,0.7058219533994304,0.7123498156110385,0.8667153729071537,0.76560237213681,0.761857121843114,0.4159862522925934,0.4101840004178616,0.8110739503646138
metoda8,0.7786267693458877,0.8076655458231196,0.7579041095890411,0.7798094320639066,0.8273577488822299,0.561005851171565,0.5580815066209625,0.8633470579642026
metoda9,0.8153901048270319,0.8145232842799768,0.9078112633181126,0.8491965620958549,0.9103999873160833,0.6326377121649931,0.6264837668324087,0.9207321895188332
