metric,method,test,mean,std,p_value,normal_distribution
Accuracy,metoda1-1,Shapiro-Wilk,0.717149924133774,0.2546397840623281,0.2964780928226629,True
Accuracy,metoda1-2,Shapiro-Wilk,0.7296377127891751,0.20839469899930368,0.4642100256975364,True
Accuracy,metoda1-3,Shapiro-Wilk,0.7321665869898083,0.19420347819452752,0.1109030204694485,True
Accuracy,metoda1-4,Shapiro-Wilk,0.7210762611460996,0.19197112881131123,0.07030799195134105,True
Accuracy,metoda1-5,Shapiro-Wilk,0.7260092979429513,0.20736852917143705,0.4631701658331213,True
Accuracy,metoda10,Shapiro-Wilk,0.7618853623218529,0.19085358822506696,0.1667547562409193,True
Accuracy,metoda11,Shapiro-Wilk,0.6581163004995392,0.1954415608972246,0.4200693619088003,True
Accuracy,metoda12-catboost,Shapiro-Wilk,0.7300257044473545,0.22203159006638595,0.5703019877426553,True
Accuracy,metoda12-rf,Shapiro-Wilk,0.7193878045907727,0.18397346670065035,0.19338740766299273,True
Accuracy,metoda13,Shapiro-Wilk,0.836034725253407,0.16695803600527442,0.15266382945553786,True
Accuracy,metoda14,Shapiro-Wilk,0.7600929794295137,0.20146210216299673,0.3401159997407073,True
Accuracy,metoda15,Shapiro-Wilk,0.7786267693458876,0.14702340645073383,0.2423932467675623,True
Accuracy,metoda16,Shapiro-Wilk,0.7815392183353773,0.235230587866785,0.09043635799902264,True
Accuracy,metoda17,Shapiro-Wilk,0.664853498506925,0.198880549754562,0.00645644538099187,False
Accuracy,metoda18,Shapiro-Wilk,0.7375222575571768,0.20608513041859744,0.05467977368994768,True
Accuracy,metoda19,Shapiro-Wilk,0.7537742581391643,0.17449649142492032,0.3742919582765545,True
Accuracy,metoda20,Shapiro-Wilk,0.7911267693458877,0.15245970881098553,0.23676943780207527,True
Accuracy,metoda2,Shapiro-Wilk,0.7786267693458876,0.14702340645073383,0.2423932467675623,True
Accuracy,metoda3,Shapiro-Wilk,0.6764773128806302,0.14479589252960623,0.31127199568467667,True
Accuracy,metoda4,Shapiro-Wilk,0.6463342582777327,0.15012141833531029,0.054814141224427716,True
Accuracy,metoda5,Shapiro-Wilk,0.7811165845648604,0.18433102468915435,0.2323858573610338,True
Accuracy,metoda6,Shapiro-Wilk,0.7786267693458876,0.14702340645073383,0.2423932467675623,True
Accuracy,metoda7,Shapiro-Wilk,0.7058219533994304,0.20572877041492052,0.5181122188701676,True
Accuracy,metoda8,Shapiro-Wilk,0.7786267693458876,0.14702340645073383,0.2423932467675623,True
Accuracy,metoda9,Shapiro-Wilk,0.8153901048270319,0.16957665046941095,0.2795763995754311,True
Precision,metoda1-1,Shapiro-Wilk,0.7301150990514979,0.23194453493750664,0.4996193453825623,True
Precision,metoda1-2,Shapiro-Wilk,0.7260750389769277,0.200360638095063,0.24902111530311893,True
Precision,metoda1-3,Shapiro-Wilk,0.7206834491994765,0.19680489115011376,0.0639661274662937,True
Precision,metoda1-4,Shapiro-Wilk,0.7238155056187535,0.1932682074883048,0.13555966166470695,True
Precision,metoda1-5,Shapiro-Wilk,0.6253080100818654,0.3648596888456344,0.05536416497523634,True
Precision,metoda10,Shapiro-Wilk,0.7778615724224044,0.19922367930727486,0.05676269648558093,True
Precision,metoda11,Shapiro-Wilk,0.6703829755137602,0.1894949539285395,0.26881682859889455,True
Precision,metoda12-catboost,Shapiro-Wilk,0.7786917039893861,0.21298117283754198,0.14722837943367478,True
Precision,metoda12-rf,Shapiro-Wilk,0.7201655236482102,0.18509376073362052,0.2292164063851475,True
Precision,metoda13,Shapiro-Wilk,0.787450831046523,0.2956867117121922,0.0009138813823427755,False
Precision,metoda14,Shapiro-Wilk,0.7656365869792376,0.1956211247350103,0.31467500706765206,True
Precision,metoda15,Shapiro-Wilk,0.8076655458231194,0.12831142030749962,0.4428384638338163,True
Precision,metoda16,Shapiro-Wilk,0.7835738306340467,0.22384473446368813,0.13024432665349478,True
Precision,metoda17,Shapiro-Wilk,0.6232727359939728,0.2984669409945675,0.1944631496390502,True
Precision,metoda18,Shapiro-Wilk,0.7612012207593714,0.2139221367324345,0.02869531126047302,False
Precision,metoda19,Shapiro-Wilk,0.7008788018525357,0.28906865151765926,0.06707769191844926,True
Precision,metoda20,Shapiro-Wilk,0.8326655458231196,0.14302287680707534,0.18391308328445477,True
Precision,metoda2,Shapiro-Wilk,0.8076655458231194,0.12831142030749962,0.4428384638338163,True
Precision,metoda3,Shapiro-Wilk,0.6989044058880979,0.14785370770041473,0.5768379747901482,True
Precision,metoda4,Shapiro-Wilk,0.6743949629205281,0.1573586081248885,0.2944473016456707,True
Precision,metoda5,Shapiro-Wilk,0.7697986587190713,0.17983815689808527,0.25595717160800424,True
Precision,metoda6,Shapiro-Wilk,0.8076655458231194,0.12831142030749962,0.4428384638338163,True
Precision,metoda7,Shapiro-Wilk,0.7123498156110384,0.19616242021681432,0.3388063071475881,True
Precision,metoda8,Shapiro-Wilk,0.8076655458231194,0.12831142030749962,0.4428384638338163,True
Precision,metoda9,Shapiro-Wilk,0.8145232842799768,0.1677660606956169,0.22049845165173348,True
Recall,metoda1-1,Shapiro-Wilk,0.8465875190258751,0.21817160352115536,0.002547979007847206,False
Recall,metoda1-2,Shapiro-Wilk,0.9227275494672755,0.1402599445463234,0.0001528179850866806,False
Recall,metoda1-3,Shapiro-Wilk,0.95179299847793,0.08646924033294484,0.0001949119572536226,False
Recall,metoda1-4,Shapiro-Wilk,0.9109893455098934,0.15734929700119407,0.00022092113035373072,False
Recall,metoda1-5,Shapiro-Wilk,0.6963287671232876,0.38516374605862547,0.002886439045301491,False
Recall,metoda10,Shapiro-Wilk,0.8416560121765602,0.1441646179238536,0.16308640963165394,True
Recall,metoda11,Shapiro-Wilk,0.8201400304414003,0.1845588472271479,0.08504351622500313,True
Recall,metoda12-catboost,Shapiro-Wilk,0.7842678843226788,0.17720422648268438,0.11803998586652192,True
Recall,metoda12-rf,Shapiro-Wilk,0.872779299847793,0.13744057590564326,0.058919037856223884,True
Recall,metoda13,Shapiro-Wilk,0.7905266362252664,0.30658127066787116,0.0017539111095813398,False
Recall,metoda14,Shapiro-Wilk,0.8270197869101978,0.20464555611288301,0.0394252916996438,False
Recall,metoda15,Shapiro-Wilk,0.7579041095890411,0.1713930861480656,0.10962521851295998,True
Recall,metoda16,Shapiro-Wilk,0.8746910197869102,0.1914664933440862,0.0015605639793661475,False
Recall,metoda17,Shapiro-Wilk,0.804468797564688,0.305285424506784,0.0006574481236750668,False
Recall,metoda18,Shapiro-Wilk,0.786654490106545,0.2027493010386303,0.22953278411321382,True
Recall,metoda19,Shapiro-Wilk,0.7797503805175039,0.29340024269863874,0.0010887883985878021,False
Recall,metoda20,Shapiro-Wilk,0.7579041095890411,0.1713930861480656,0.10962521851295998,True
Recall,metoda2,Shapiro-Wilk,0.7579041095890411,0.1713930861480656,0.10962521851295998,True
Recall,metoda3,Shapiro-Wilk,0.7814916286149163,0.1773078319801979,0.05461746793368994,True
Recall,metoda4,Shapiro-Wilk,0.7994246575342465,0.2014252071928941,0.003653824428710785,False
Recall,metoda5,Shapiro-Wilk,0.9193302891933028,0.1037845885396772,0.0022915100705338735,False
Recall,metoda6,Shapiro-Wilk,0.7579041095890411,0.1713930861480656,0.10962521851295998,True
Recall,metoda7,Shapiro-Wilk,0.8667153729071537,0.17317159018958253,0.002072602802187077,False
Recall,metoda8,Shapiro-Wilk,0.7579041095890411,0.1713930861480656,0.10962521851295998,True
Recall,metoda9,Shapiro-Wilk,0.9078112633181126,0.11638627643217897,0.006401016290774738,False
F1-Score,metoda1-1,Shapiro-Wilk,0.769293668260177,0.2064885273219217,0.2048421775431319,True
F1-Score,metoda1-2,Shapiro-Wilk,0.7955655413725675,0.1523336311264184,0.39807103935407717,True
F1-Score,metoda1-3,Shapiro-Wilk,0.8051309868018008,0.1347456008057984,0.048126709744950424,False
F1-Score,metoda1-4,Shapiro-Wilk,0.7848145088026475,0.14509753839431033,0.06733002739073639,True
F1-Score,metoda1-5,Shapiro-Wilk,0.6531377865038195,0.3670223658138045,0.012625054840966949,False
F1-Score,metoda10,Shapiro-Wilk,0.7979326649047258,0.15569628840205152,0.31860827801346336,True
