,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.8542451696690311,0.33791890919152395,0.9896603439903552,0.7685905671661333,0.9993678695619438,-0.9115147645760563,0.9999999999999996,0.14309179699515917,0.3532704612924182,-0.32274900627797093
Precision,0.8542451696690311,1.0,-0.19509974317441697,0.7775276646566777,0.8319692396176976,0.8451122319798552,-0.7150894214184268,0.8542451696690313,0.10739934539510142,0.541722967102698,-0.3333921443786464
Recall,0.33791890919152395,-0.19509974317441697,1.0,0.464304798726623,-0.12956882136609277,0.3575250317297627,-0.43910778978760334,0.33791890919152356,0.08257307642861783,-0.3243374865704015,-0.01570723424274815
F1-Score,0.9896603439903552,0.7775276646566777,0.464304798726623,1.0,0.6848919243542361,0.9930607979486994,-0.9253387368138939,0.9896603439903552,0.14856341448127405,0.2774912023935123,-0.31593468488195375
ROC-AUC,0.7685905671661333,0.8319692396176976,-0.12956882136609277,0.6848919243542361,1.0,0.7457168576948485,-0.6191411968023558,0.7685905671661332,0.07132557876845316,0.4769376271555566,-0.16743137982967063
MCC,0.9993678695619438,0.8451122319798552,0.3575250317297627,0.9930607979486994,0.7457168576948485,1.0,-0.9168221056241933,0.9993678695619438,0.1451834462653956,0.3412901712992328,-0.32802990710364005
Log Loss,-0.9115147645760563,-0.7150894214184268,-0.43910778978760334,-0.9253387368138939,-0.6191411968023558,-0.9168221056241933,1.0,-0.9115147645760566,-0.10063286729485486,-0.2029407843608471,0.3867521683231344
Cohen's Kappa,0.9999999999999996,0.8542451696690313,0.33791890919152356,0.9896603439903552,0.7685905671661332,0.9993678695619438,-0.9115147645760566,1.0,0.1430917969951596,0.35327046129241807,-0.3227490062779709
Execution Time (s),0.14309179699515917,0.10739934539510142,0.08257307642861783,0.14856341448127405,0.07132557876845316,0.1451834462653956,-0.10063286729485486,0.1430917969951596,1.0,-0.07597462981998752,0.11335033977044737
CV Accuracy (Mean),0.3532704612924182,0.541722967102698,-0.3243374865704015,0.2774912023935123,0.4769376271555566,0.3412901712992328,-0.2029407843608471,0.35327046129241807,-0.07597462981998752,1.0,-0.5542837473260189
CV Accuracy (Std Dev),-0.32274900627797093,-0.3333921443786464,-0.01570723424274815,-0.31593468488195375,-0.16743137982967063,-0.32802990710364005,0.3867521683231344,-0.3227490062779709,0.11335033977044737,-0.5542837473260189,1.0
