metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.9565217391304346,0.066237087637185,6.11360776718626e-06,False
Precision,Shapiro-Wilk,0.9534161489999999,0.09455334499969069,2.387889301025279e-07,False
Recall,Shapiro-Wilk,0.9739130434782609,0.06887004431501818,1.1249326519731088e-08,False
F1-Score,Shapiro-Wilk,0.9591567852173912,0.059931063717627256,9.344739024197184e-06,False
ROC-AUC,Shapiro-Wilk,0.988695652173913,0.03454961489406305,5.1114669859496964e-09,False
MCC,Shapiro-Wilk,0.9220994273043476,0.11696808430479624,6.628259890490846e-06,False
Log Loss,Shapiro-Wilk,0.20695830947826088,0.2548562828445277,0.0002051810193909199,False
Cohen's Kappa,Shapiro-Wilk,0.9130434782608697,0.13247417527437,6.11360776718626e-06,False
Execution Time (s),Shapiro-Wilk,75335419.96987672,361291464.6127001,3.9947925378366574e-10,False
CV Accuracy (Mean),Shapiro-Wilk,0.7615384615384616,0.24337372337779034,0.05164449087071346,True
CV Accuracy (Std Dev),Shapiro-Wilk,0.19645858730769233,0.128534141004729,0.038188649841133314,False
