,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.7803185623984151,0.4518286839764221,0.9906782015210954,0.6438555046541423,1.0,-0.8305491515477584,1.0,-0.018822643661139,0.2729376293129064,-0.28479403975194656
Precision,0.7803185623984151,1.0,-0.2026608708444444,0.6965896305588118,0.7877855422677296,0.7803185623984151,-0.6269693235364471,0.7803185623984151,-0.17217647725125626,0.5099170602367536,-0.481768010482167
Recall,0.4518286839764221,-0.2026608708444444,1.0,0.5509130191229603,-0.14967497253247586,0.4518286839764221,-0.40871194568479957,0.4518286839764221,0.21408720964441882,-0.2968763938415094,0.22719517393383057
F1-Score,0.9906782015210954,0.6965896305588118,0.5509130191229603,1.0,0.6064837635513596,0.9906782015210954,-0.8245551131149008,0.9906782015210954,0.012819938154436621,0.21526140557546278,-0.22120634296012637
ROC-AUC,0.6438555046541423,0.7877855422677296,-0.14967497253247586,0.6064837635513596,1.0,0.6438555046541423,-0.5623443781442197,0.6438555046541423,-0.0810586491018695,0.37556668362215523,-0.2947853383768011
MCC,1.0,0.7803185623984151,0.4518286839764221,0.9906782015210954,0.6438555046541423,1.0,-0.8305491515477584,1.0,-0.018822643661139,0.2729376293129064,-0.28479403975194656
Log Loss,-0.8305491515477584,-0.6269693235364471,-0.40871194568479957,-0.8245551131149008,-0.5623443781442197,-0.8305491515477584,1.0,-0.8305491515477584,0.09782608695652174,-0.4178678284710959,0.4434395736311599
Cohen's Kappa,1.0,0.7803185623984151,0.4518286839764221,0.9906782015210954,0.6438555046541423,1.0,-0.8305491515477584,1.0,-0.018822643661139,0.2729376293129064,-0.28479403975194656
Execution Time (s),-0.018822643661139,-0.17217647725125626,0.21408720964441882,0.012819938154436621,-0.0810586491018695,-0.018822643661139,0.09782608695652174,-0.018822643661139,1.0,-0.23400598394381367,-0.16202599805753917
CV Accuracy (Mean),0.2729376293129064,0.5099170602367536,-0.2968763938415094,0.21526140557546278,0.37556668362215523,0.2729376293129064,-0.4178678284710959,0.2729376293129064,-0.23400598394381367,1.0,-0.7796975685725968
CV Accuracy (Std Dev),-0.28479403975194656,-0.481768010482167,0.22719517393383057,-0.22120634296012637,-0.2947853383768011,-0.28479403975194656,0.4434395736311599,-0.28479403975194656,-0.16202599805753917,-0.7796975685725968,1.0
